sample_id,lot_id,tool_id,sequence,layer,pe_cycle,program_pulse_v,temperature_c,retention_time_h,state,vth_mean_v,vth_sigma_v,read_window_v,ber_proxy,read_error
S00657,L0032,T03,657,18,14.358937,17.807317,48.091903,27.225663,0,-1.544159,0.282171,0.106121,0.01316,LOW
S00138,L0006,T02,138,80,10.798139,15.586553,45.175828,,7,3.415072,0.288604,0.173819,0.06837,LOW
S00217,L0010,T01,217,92,1660.517663,19.261295,55.354453,2.018042,0,-2.453318,0.37256,0.03,0.029887,LOW
S00314,L0015,T02,314,97,89.213258,16.433463,29.396368,35.682279,5,1.548392,0.291922,0.099606,0.076162,LOW
S00032,L0001,T01,32,150,,17.691193,46.649528,1.004239,2,-1.514527,0.448433,0.03,0.058415,LOW
S00581,L0029,T01,581,170,475.09222,18.541868,44.948862,3.616072,0,-2.168624,0.395703,0.03,0.029887,LOW
S00367,L0018,T02,367,162,12.949889,19.383932,40.891641,66.051635,4,1.342445,0.324726,0.080098,0.067165,LOW
S00158,L0007,T02,158,47,26.044547,16.859942,37.608188,2.447292,1,-1.060648,0.307475,0.116956,0.01652,LOW
S00714,L0035,T02,714,155,861.656343,16.750748,48.755146,48.135676,0,-2.381105,0.386066,0.03,0.029887,LOW
S00080,L0004,T01,80,96,377.101672,18.551612,30.046781,14.294571,7,2.886887,0.307991,0.036524,-0.227139,HIGH
S00102,L0005,T02,102,58,2311.179419,18.422821,43.942003,4.9009,6,1.562521,0.417176,0.03,0.201009,HIGH
S00514,L0025,T03,514,29,33.992387,18.732872,31.964635,71.346843,0,-1.791857,0.311391,0.064642,0.020612,LOW
S00107,L0005,T01,107,177,14.978368,17.245223,60.482574,21.175219,7,3.425539,0.340361,0.109489,0.129613,HIGH
S00574,L0028,T01,574,115,18.368726,17.906092,41.246945,27.779578,7,3.2147,0.246618,0.295543,0.018873,LOW
S00330,L0016,T02,330,79,122.622176,17.301747,37.567237,325.425703,6,2.187909,0.344556,0.03,0.201009,HIGH
S00671,L0033,T01,671,126,61.879985,17.340517,50.656198,1.573893,5,1.619905,0.320975,0.03,0.150588,HIGH
S00020,L0001,T02,20,84,4061.072559,17.711784,45.272518,24.232022,6,1.414276,0.39858,0.03,0.201009,HIGH
S00500,L0025,T01,500,82,210.149945,18.721135,41.686898,6.043401,5,1.403864,0.332233,0.03,0.150588,HIGH
S00775,L0038,T01,775,169,1307.300265,18.593406,42.756932,3.755523,4,0.459295,0.481848,0.03,0.111056,LOW
S00035,L0001,T02,35,57,507.37157,16.818449,32.988777,36.846285,6,2.085791,0.39888,0.03,0.201009,HIGH
S00045,L0002,T01,45,,318.894742,17.799751,49.909486,356.846404,2,-0.673266,0.395569,0.03,0.058415,LOW
S00178,L0008,T02,178,4,353.646669,20.536823,48.710164,1.192403,,-0.431966,0.426264,0.03,0.058415,LOW
S00414,L0020,T01,414,114,25.589586,18.997029,56.406602,788.156522,3,0.496635,0.299705,0.08714,0.04485,LOW
S00490,L0024,T01,490,138,143.221535,18.008017,39.356386,104.933964,1,-1.25733,0.359361,0.03,0.041887,LOW
S00339,L0016,T03,339,93,292.343409,17.11059,32.340859,110.397974,0,-2.089265,0.331245,0.03,0.029887,LOW
S00132,L0006,T03,132,71,737.301485,17.65922,54.883197,8.210041,0,-2.324265,0.366387,0.03,0.029887,LOW
S00046,L0002,T01,46,53,1752.792344,18.011921,55.862505,4.10832,0,-2.657983,0.452879,0.03,0.029887,LOW
S00606,L0030,T01,606,117,11.380493,17.460767,47.368899,74.105736,7,3.530633,0.253394,0.164223,0.075407,LOW
S00703,L0035,T01,703,60,418.852909,16.385641,39.696208,7.864836,1,-1.389178,0.381855,0.03,0.041887,LOW
S00230,L0011,T03,230,103,452.905431,17.195946,36.857181,163.995491,2,-0.769877,0.370821,0.03,0.058415,LOW
S00558,L0027,T01,558,,86.281243,17.698274,46.180245,45.567801,5,1.798437,0.36321,0.03,0.150588,HIGH
S00549,L0027,T03,549,122,188.974852,16.901999,40.98514,68.068637,7,2.84828,0.320045,0.040277,0.24176,HIGH
