sample_id,lot_id,tool_id,sequence,layer,pe_cycle,program_pulse_v,temperature_c,retention_time_h,state,vth_mean_v,vth_sigma_v,read_window_v,ber_proxy,read_error
S00092,L0004,T02,92,137,2963.925703,20.142277,60.54398,101.431588,7,3.054145,0.411501,0.03,0.263084,HIGH
S00691,L0034,T01,691,49,379.055007,15.538193,47.746527,13.726444,7,3.438556,0.380105,0.03,0.263084,HIGH
S00754,L0037,T01,754,192,361.690082,17.704795,45.802278,828.755221,7,2.738177,0.463418,0.03,0.263084,HIGH
S00306,L0015,T01,306,105,32.075698,19.113566,63.503123,4.124363,6,2.93327,0.285323,0.183655,0.044353,LOW
S00360,L0018,T02,360,164,4835.816837,18.882373,61.990547,,3,0.056838,0.438619,0.03,0.080913,LOW
S00730,L0036,T01,730,84,53.406281,18.072259,40.576106,2.135172,0,-1.437569,0.289135,0.164163,0.006993,LOW
S00176,L0008,T02,176,10,241.339908,17.392442,43.780147,769.88297,5,1.503725,0.401137,0.03,0.150588,HIGH
S00098,L0004,T01,98,141,1747.96923,16.340897,47.950834,48.821814,5,1.579703,0.404851,0.03,0.150588,HIGH
S00462,L0023,T01,462,74,10.934199,15.654892,35.621518,380.09447,1,-1.24897,0.234321,0.253251,0.003737,LOW
S00712,L0035,T02,712,151,2555.867891,17.344688,53.610103,37.125831,0,-1.792053,0.458681,0.03,0.029887,LOW
S00713,L0035,T01,713,64,105.491126,17.420088,29.359788,537.276872,2,-0.327803,0.32256,0.03,0.058415,LOW
S00292,L0014,T01,292,17,103.617224,18.43326,37.955983,30.238977,6,2.600533,0.377288,0.03,0.201009,HIGH
S00239,L0011,T03,239,185,933.077188,,48.797247,389.8195,3,0.163207,0.424782,0.03,0.080913,LOW
S00645,L0032,T01,645,100,4964.197682,17.586014,63.845406,22.172255,1,-1.029298,0.447832,0.03,0.041887,LOW
S00625,L0031,T02,625,66,1327.728867,17.040834,33.003815,63.964166,7,3.544918,0.39514,0.03,0.263084,HIGH
