sample_id,lot_id,tool_id,sequence,down_force_psi,platen_speed_rpm,head_speed_rpm,slurry_flow_ml_min,pad_age_runs,pattern_density,removal_rate_proxy,wiwnu_proxy,dishing_nm,erosion_nm,yield_proxy
S00602,L0030,T01,602,2.278028,107.761962,114.461226,137.949562,84.43167,0.308573,311.535544,7.068741,25.577966,27.720846,88.879115
S00354,L0017,T04,354,4.387359,103.773653,68.387763,153.912386,37.35699,0.76669,423.834733,4.182104,61.243153,33.435203,90.151352
S00246,L0012,T01,246,2.653545,82.596948,73.677855,175.577623,3.941448,0.739059,352.097267,1.803787,40.928555,25.281645,97.012078
S00435,L0021,T01,435,3.368785,76.83044,126.268379,172.046774,91.022434,0.714758,362.721018,7.122886,55.751267,34.619769,85.151129
S00729,L0036,T02,729,3.737848,119.094692,95.153257,205.284932,68.367681,0.203699,424.104616,5.840138,38.281124,21.269122,91.070362
S00117,L0005,T03,117,4.454292,114.904234,80.019958,192.468227,86.980135,0.701818,444.000537,7.448131,51.461364,38.47683,86.002177
S00138,L0006,T01,138,3.449584,128.734467,144.89314,196.599077,29.625443,0.36957,422.523463,3.382452,43.918315,22.684208,95.831662
S00192,L0009,T02,192,4.31192,85.279477,133.993855,221.477885,85.457559,0.568629,418.521547,7.0222,61.792353,33.574103,84.958667
S00687,L0034,T02,687,4.181232,117.858177,66.430213,211.882542,115.491594,0.439682,421.886311,8.955069,42.340561,33.688562,83.49105
S00152,L0007,T01,152,4.229804,81.343807,125.486177,128.423945,106.35865,0.759541,382.838515,8.821841,66.134156,35.247492,81.121308
S00582,L0029,T02,582,2.910331,74.126954,136.80545,121.07994,108.834232,0.522768,315.699682,8.101217,43.184386,33.591258,86.30352
S00167,L0008,T04,167,2.38026,145.178065,86.659918,155.04788,122.577898,0.44106,348.202605,9.936053,31.924309,30.539496,83.343463
S00317,L0015,T03,317,2.198961,109.883153,128.144338,124.201618,23.071361,0.422361,319.358174,3.657573,37.366522,21.820169,96.012059
S00341,L0017,T02,341,2.862267,92.522807,118.746924,156.599191,58.342104,0.677557,349.429612,4.916316,53.188681,27.557992,91.540903
S00346,L0017,T03,346,2.247254,77.415394,124.877538,135.988432,139.739043,0.656052,269.520057,11.896747,41.705522,39.906368,80.013507
S00388,L0019,T02,388,2.738965,90.733975,85.652591,177.88292,31.869146,0.599812,336.366682,3.294363,47.46074,33.91139,95.318037
S00090,L0004,T01,90,3.451883,139.590192,105.339752,157.255068,44.076492,0.507907,406.708827,3.977971,51.37692,27.22164,92.772111
S00103,L0005,T01,103,3.545685,113.264534,132.392938,180.150809,111.342911,0.316568,384.582895,8.594536,37.996056,25.845409,86.332987
S00488,L0024,T01,488,4.463486,145.344668,87.996059,160.540947,96.216954,0.427232,451.739234,8.365335,61.55039,32.809438,83.509702
S00219,L0010,T01,219,2.320736,126.673204,72.822084,150.806121,22.947472,0.573162,366.312546,3.711016,48.130952,27.955875,96.954027
