sample_id,lot_id,tool_id,sequence,down_force_psi,platen_speed_rpm,head_speed_rpm,slurry_flow_ml_min,pad_age_runs,pattern_density,removal_rate_proxy,wiwnu_proxy,dishing_nm,erosion_nm,yield_proxy
S00766,L0038,T01,766,4.382692,133.944673,65.733837,,36.505847,0.206291,485.383994,4.300196,42.388817,17.724933,93.441619
S00580,L0029,T03,580,3.063063,78.522833,82.349441,175.909056,102.223428,0.699749,333.336744,2.784179,51.764918,40.257899,93.708983
S00324,L0016,T03,324,3.408839,143.431787,73.862575,207.142144,0.376159,0.516476,426.070682,3.354883,44.935177,23.021822,94.369377
S00065,L0003,T01,65,3.661353,144.404096,,178.279991,40.950757,0.41797,439.03121,2.991101,47.433714,20.901908,95.55743
S00760,L0038,T03,760,2.543504,114.731006,72.181937,169.106247,38.514776,0.660157,351.590621,2.384102,45.963842,29.311589,95.973795
S00700,L0035,T01,700,3.545537,103.969467,93.51234,192.974635,35.556243,0.727951,410.51991,4.507759,43.316863,29.790275,93.370435
S00421,L0021,T03,421,2.957588,133.724133,136.170369,179.436903,90.241498,0.319162,385.031045,2.650979,44.681494,27.061514,97.656627
S00521,L0026,T01,521,3.121263,149.82862,129.140744,225.192691,28.347095,0.306438,422.87764,3.49505,34.236381,18.344322,95.347043
S00103,L0005,T01,103,2.403294,128.795412,124.426993,143.700107,60.109081,0.266146,342.527022,2.776125,38.890591,28.114549,95.367376
S00748,L0037,T03,748,3.129416,148.363677,126.429297,169.93292,23.992535,0.799354,418.537186,2.221882,49.505976,31.920935,95.252765
S00566,L0028,T01,566,2.591524,81.692611,65.943283,131.359377,35.339993,0.401343,327.641531,1.074154,32.937419,16.991978,96.625508
S00085,L0004,T01,85,2.963549,145.903297,131.457704,206.725793,60.418758,0.37949,402.564608,3.980914,41.992373,22.244129,95.440064
S00701,L0035,T01,701,3.899648,74.454098,114.70149,167.792062,46.603603,0.761461,384.259926,2.412601,52.246653,33.970704,94.043723
S00283,L0014,T01,283,2.838503,137.31332,115.266139,145.692745,88.126512,0.306823,373.095202,2.127999,34.864558,29.737563,93.60683
S00658,L0032,T02,658,3.780917,110.071893,81.474959,159.771092,108.515453,0.538684,730.424798,2.578034,59.69946,36.123707,92.977431
S00393,L0019,T01,393,2.421245,91.78024,119.952834,155.083139,79.185225,0.770563,306.484543,2.17144,48.09819,39.448212,93.041973
S00492,L0024,T01,492,2.043816,145.740146,133.299917,145.209586,94.613143,0.479258,343.637616,1.686343,24.833478,31.456316,94.464721
S00214,L0010,T01,214,4.469313,74.271526,70.969997,156.634046,55.683973,0.684534,408.034935,2.563497,65.731312,26.251536,93.628033
