sample_id,lot_id,tool_id,sequence,temp_c,pressure_torr,gas_flow_sccm,cycles,chamber_age_runs,hours_since_maintenance,thickness_nm,uniformity_pct,sheet_resistance_proxy,next_run_cycle_correction
S00260,L0013,T01,260,393.761026,2.187138,,121,83.156783,5.158807,69.912944,2.894163,61.908576,0.41455
S00484,L0024,T01,484,386.828875,2.140132,185.159719,113,197.658626,154.705549,70.360943,4.025182,63.683455,-1.718775
S00694,L0034,T01,694,392.395185,2.410492,182.537125,116,38.153386,148.92283,68.498582,2.039195,62.809267,7.149609
S00607,L0030,T02,607,401.60392,2.478612,162.104865,135,44.652127,132.687333,74.009551,1.663693,55.666522,-12.0
S00710,L0035,T04,710,382.233951,2.262309,177.555075,85,228.609886,94.287535,65.724861,3.848153,61.564454,12.0
S00273,L0013,T03,273,379.55392,2.322164,168.717195,136,97.441611,156.922667,67.780569,2.610776,61.197762,10.56872
S00058,L0002,T01,58,400.17916,2.771094,166.90475,80,34.045648,124.442323,59.853322,2.015691,72.774209,12.0
S00085,L0004,T01,85,400.983727,2.15867,168.386512,87,162.925199,109.803568,62.915684,3.373743,69.256219,12.0
S00318,L0015,T01,318,383.699524,2.412888,195.152124,98,204.691091,110.641412,64.457167,4.075742,60.695935,12.0
S00178,L0008,T02,178,395.723982,2.529351,176.584292,137,201.618242,31.536851,77.285811,4.075592,51.591783,-12.0
S00236,L0011,T01,236,396.468754,2.306004,188.780656,134,138.491909,93.340035,72.497687,2.873643,56.323887,-11.893747
S00256,L0012,T04,256,381.967347,2.724091,170.787548,102,199.98662,157.947535,70.037944,4.014304,55.114457,-0.180685
S00640,L0032,T03,640,383.530296,2.620949,173.953933,123,107.150914,48.852705,68.946587,2.580522,57.393685,5.01625
S00250,L0012,T04,250,378.178382,2.656737,181.234308,104,168.383988,92.507119,68.394354,3.687425,58.951882,7.645934
S00686,L0034,T04,686,385.28764,2.217651,207.3696,125,198.548677,122.380082,75.587396,3.642362,51.401216,-12.0
S00375,L0018,T02,375,392.273513,2.164425,193.539732,119,92.847057,32.938804,73.393896,3.143041,54.172708,-12.0
S00329,L0016,T01,329,386.098488,2.235874,177.725791,94,25.827015,36.49348,60.329925,1.919484,66.409009,12.0
S00670,L0033,T01,670,391.007229,2.496149,160.081792,126,152.450001,69.02554,71.566046,3.18971,52.21538,-7.457362
S00560,L0028,T01,560,393.525371,2.320226,159.718134,120,32.418751,138.741254,68.507818,1.793128,58.280245,7.105627
S00520,L0026,T03,520,389.594067,2.461941,191.949638,129,110.358196,75.901181,71.91391,2.451853,56.406728,-9.113855
S00750,L0037,T01,750,383.228441,2.323789,198.873262,127,130.284943,140.333965,71.117891,3.052589,56.803249,-5.32329
S00259,L0012,T01,259,390.100709,2.059523,205.004317,95,72.430493,15.808132,64.177912,2.528856,65.941667,12.0
S00017,L0000,T05,17,403.873894,2.197223,174.129299,134,128.032311,24.850498,71.654105,3.141536,56.297312,-7.876693
S00278,L0013,T01,278,382.443268,1.980495,188.953243,106,124.852099,69.724523,66.154007,3.169522,59.344176,12.0
S00777,L0038,T01,777,390.999746,2.545836,183.69283,105,111.623618,102.564471,66.749266,2.726316,63.628192,12.0
S00450,L0022,T01,450,387.352014,2.477796,166.591344,91,128.873024,144.431869,61.12432,2.675214,67.913796,12.0
S00469,L0023,T02,469,378.422084,2.463118,187.392936,136,70.842027,107.990851,73.564597,2.431172,51.595751,-12.0
S00579,L0028,T05,579,396.270917,2.225616,189.771488,90,228.029385,25.329079,62.644952,4.138936,68.151663,12.0
S00089,L0004,T02,89,389.037896,2.872282,165.206789,98,30.076087,40.95617,64.55262,1.977025,64.67273,12.0
S00363,L0018,T01,363,381.641707,2.776751,153.955347,122,132.910169,31.124399,69.294533,3.359177,61.095287,3.359365
S00476,L0023,T01,476,388.004516,2.262978,173.605758,133,51.302581,14.690687,69.999168,1.992881,53.925439,0.003964
S00154,L0007,T03,154,380.71471,2.619161,162.049644,98,191.829506,18.202067,65.50731,3.539488,63.388037,12.0
S00156,L0007,T01,156,395.032069,2.560504,192.791244,126,221.241606,107.736429,70.60004,4.117372,57.502867,-2.857334
S00468,L0023,T01,468,387.954785,2.442089,186.594177,83,109.780087,69.449574,57.999133,2.620353,75.641436,12.0
S00269,L0013,T01,269,396.710197,2.189897,192.034314,114,165.400972,97.321181,71.933986,3.188755,56.017547,-9.209458
S00565,L0028,T01,565,389.597271,2.381666,195.870859,105,201.653313,9.222965,67.893495,3.639498,58.611426,10.030977
S00730,L0036,T01,730,383.038767,2.679632,182.978893,82,0.696171,26.159859,56.351906,1.437742,73.905897,12.0
S00377,L0018,T01,377,385.3808,2.36796,182.812324,99,231.699289,23.586587,67.836058,4.311087,60.563258,10.304486
S00523,L0026,T02,523,400.941032,2.237368,170.22747,105,201.836774,17.707139,70.494131,4.087584,58.361628,-2.353006
S00270,L0013,T03,270,375.341055,2.102668,165.519518,115,237.30865,110.380977,67.040965,4.529204,58.810588,12.0
S00733,L0036,T01,733,384.170841,2.511108,146.155225,136,115.624801,33.054243,71.761589,3.164447,57.570413,-8.388518
S00404,L0020,T04,404,395.795582,1.993959,195.965825,116,,114.768577,72.540358,3.283842,55.011618,-12.0
S00195,L0009,T01,195,396.972703,2.642868,159.871826,132,89.42987,30.85633,72.014334,2.486669,55.74771,-9.592068
S00464,L0023,T02,464,380.324358,2.677471,199.165459,139,141.264156,50.438343,73.530296,3.057007,55.135056,-12.0
S00759,L0037,T02,759,387.093828,2.45483,223.390459,130,17.273117,128.719101,71.754163,1.413866,53.587072,-8.353158
S00508,L0025,T04,508,384.966735,2.329722,179.250015,,34.657533,99.554441,70.569645,1.835065,57.38781,-2.712595
S00796,L0039,T03,796,403.233159,2.024742,160.918315,106,155.058894,145.986912,66.139292,3.842797,64.927864,12.0
S00529,L0026,T01,529,393.256803,2.582096,157.249494,99,131.875551,13.07977,63.832893,2.497858,69.521832,12.0
S00239,L0011,T01,239,392.535964,2.360261,172.574524,127,227.195379,117.681239,74.177124,3.9469,56.199166,-12.0
S00246,L0012,T01,246,390.091445,2.582781,186.186664,107,102.382665,137.117877,65.952726,2.583423,63.128717,12.0
S00387,L0019,T01,387,392.097692,2.332708,190.800192,106,139.803002,43.39494,67.80434,3.002249,63.357512,10.455525
S00741,L0037,T02,741,385.401358,2.452746,184.249476,126,239.638077,15.528271,74.238248,4.748161,50.076986,-12.0
S00108,L0005,T02,108,389.382915,2.446665,181.217199,84,17.898522,62.567858,61.684309,1.717751,65.087825,12.0
S00142,L0007,T03,142,391.908528,1.971474,187.269376,113,54.380626,25.646225,67.214778,2.116027,55.729613,12.0
S00769,L0038,T03,769,398.118882,1.960996,185.677222,99,78.382637,117.773914,64.087637,2.172384,67.367793,12.0
S00103,L0005,T01,103,380.818308,2.030628,166.12503,125,112.936058,11.153774,68.86458,2.959403,57.889748,5.406762
S00669,L0033,T01,669,388.891871,2.367438,194.375158,108,186.46848,68.997342,69.239813,3.470559,59.275676,3.619937
S00336,L0016,T02,336,376.277328,2.568222,164.00355,132,124.154809,28.666418,71.212788,3.137338,54.116343,-5.77518
S00233,L0011,T01,233,381.174745,2.871808,175.830952,134,68.046972,,70.555875,2.496124,58.466635,-2.647023
S00002,L0000,T01,2,397.093252,2.520512,190.071021,105,18.38275,131.519005,64.671149,1.472983,62.481015,12.0
S00039,L0001,T01,39,389.315292,2.379214,164.007684,86,61.819278,125.031256,59.901764,1.855978,75.74527,12.0
S00429,L0021,T03,429,398.656343,2.363137,213.228237,120,193.993205,,71.430148,3.821324,56.370889,-6.81023
S00735,L0036,T01,735,390.964706,2.099059,158.028419,130,88.154837,143.380521,71.639266,2.818782,55.141311,-7.80603
S00663,L0033,T01,663,391.240337,2.181747,167.40421,106,195.18594,148.439414,67.391554,3.94005,64.912638,12.0
S00087,L0004,T01,87,383.873768,2.169678,181.502057,123,123.64201,109.264052,67.464788,2.874631,55.410809,3.157866
S00094,L0004,T01,94,392.31542,2.07371,182.481659,131,208.801234,92.08108,74.19208,4.042165,51.237159,-12.0
S00150,L0007,T02,150,382.370948,2.398205,176.44593,119,209.219256,115.378497,71.521112,3.841253,51.580394,-7.243393
S00758,L0037,T01,758,399.859156,2.299723,177.755098,119,222.76548,34.509298,70.708093,3.971805,58.21549,-3.371871
S00393,L0019,T02,393,391.462114,2.461638,159.977338,93,128.046413,35.229202,63.811296,2.982052,65.869828,12.0
S00452,L0022,T01,452,385.113066,2.320086,189.486244,124,144.203261,55.976417,71.35473,2.935287,52.58591,-6.451094
S00373,L0018,T03,373,383.582884,2.550596,188.424143,124,40.125656,90.252079,68.238191,2.160795,62.135801,8.389569
S00415,L0020,T01,415,380.103853,2.410897,171.315992,128,21.970838,135.19061,67.356044,1.666269,62.293613,12.0
S00597,L0029,T01,597,396.954663,2.284468,203.704232,134,231.647085,31.238187,75.951575,4.153549,47.630321,-12.0
S00723,L0036,T02,723,387.946919,1.859382,196.066852,133,9.39623,132.815543,71.873717,1.554257,48.145179,-8.922461
S00659,L0032,T01,659,398.456518,2.220729,162.248787,133,111.462209,32.448111,71.594325,2.646691,57.346876,-7.592025
S00627,L0031,T01,627,389.529663,2.637038,185.750166,98,136.04967,142.229364,63.299262,3.297261,65.634298,12.0
S00190,L0009,T01,190,399.703095,2.215,164.687609,92,25.830703,59.838361,61.323292,1.7359,70.640467,12.0
S00434,L0021,T02,434,392.6702,2.247012,177.47357,130,156.102724,58.450222,75.227416,3.550817,50.917574,-12.0
S00037,L0001,T03,37,397.381269,2.051637,188.812712,109,233.060004,67.155482,70.879376,3.844563,56.66129,-4.187507
S00537,L0026,T02,537,391.036113,2.017875,169.316169,86,204.754113,73.599885,64.143023,4.037895,63.961875,12.0
S00123,L0006,T03,123,383.9132,2.307411,177.97369,102,111.367171,136.568807,63.739168,2.784119,75.044805,12.0
S00606,L0030,T04,606,405.431892,2.270278,187.291772,105,128.323718,97.458732,71.680115,3.589238,56.410315,-8.000547
S00763,L0038,T01,763,395.07907,2.39695,169.635954,112,179.179436,4.902537,70.422902,3.70286,57.108812,-2.013817
S00214,L0010,T03,214,385.868323,2.392174,180.837067,89,21.607033,52.235652,60.764163,1.608791,71.153694,-24.799881
S00189,L0009,T02,189,384.398292,1.88153,173.374582,110,111.700357,43.810239,69.591177,3.189468,58.775739,1.946777
S00186,L0009,T01,186,391.632905,2.424002,198.319913,101,90.771139,37.700081,65.728759,2.43244,60.04241,41.582819
S00749,L0037,T04,749,386.471817,2.497559,180.603176,106,172.364457,114.027452,69.105361,3.635531,55.699286,4.260185
S00645,L0032,T02,645,370.536226,2.210454,197.252787,80,24.216727,,60.209071,1.665875,66.511207,12.0
S00309,L0015,T05,309,394.01003,2.316844,180.26176,92,194.383158,93.136693,64.115353,3.947332,65.75857,12.0
S00603,L0030,T01,603,398.760869,1.837639,178.66741,106,93.988042,116.777499,66.557181,2.959579,62.085064,12.0
S00141,L0007,T02,141,380.32402,2.210905,187.895168,128,209.93389,158.845714,73.785985,4.375292,52.275205,-12.0
S00472,L0023,T01,472,383.875727,2.228977,185.132324,114,156.477435,75.986469,68.289125,3.72772,62.72175,8.147023
S00014,L0000,T02,14,396.632577,2.585935,163.609363,109,180.900969,130.427975,68.795661,4.034921,59.704743,5.734947
S00621,L0031,T01,621,394.228752,2.090945,176.818076,88,225.28082,33.086775,66.086676,3.912289,64.507802,12.0
S00102,L0005,T01,102,383.075718,2.483523,179.70227,114,98.878899,158.337901,67.607585,2.727225,59.662803,11.392454
S00198,L0009,T05,198,392.587792,2.198786,177.876023,100,146.515531,61.125359,64.780294,3.204113,62.846734,12.0
S00780,L0039,T03,780,382.528067,1.90103,186.707394,115,232.728602,134.004693,69.69208,4.565025,52.027969,1.466287
S00020,L0001,T03,20,404.867563,2.461839,174.252071,140,187.30949,128.75761,73.515055,3.258153,56.106412,-12.0
S00006,L0000,T01,6,392.622904,2.437687,161.063209,111,230.595778,90.832324,69.579465,4.301467,60.185537,2.002548
S00371,L0018,T02,371,384.998793,2.252421,177.174616,,156.669273,38.408478,74.218119,3.053448,49.88312,-12.0
S00097,L0004,T01,97,397.009289,2.002713,193.69076,87,194.178966,100.707454,65.741036,4.046635,64.647956,12.0
S00594,L0029,T01,594,391.094008,2.498455,174.021682,88,62.81113,43.298816,62.833975,2.028898,67.906271,12.0
S00145,L0007,T04,145,389.030579,2.733453,172.824136,121,195.630314,16.643173,75.045274,4.004397,52.813393,-12.0
S00314,L0015,T02,314,391.751901,2.595662,167.359603,97,7.312468,45.776611,62.869432,1.611499,65.406399,12.0
S00422,L0021,T03,422,393.952529,,173.240876,113,130.542702,34.981566,66.76228,3.449682,64.774892,12.0
S00739,L0036,T01,739,388.275763,2.286411,167.833426,139,103.056844,23.691846,74.008707,2.406389,51.527661,-12.0
S00585,L0029,T01,585,408.707332,2.658439,195.832424,133,116.517657,81.464814,73.774733,2.98761,54.50316,-12.0
S00567,L0028,T05,567,392.109274,2.597871,176.122384,122,80.075808,52.177634,65.611157,2.64696,59.825513,12.0
S00551,L0027,T01,551,388.181346,2.209022,180.155316,120,71.40168,139.247508,67.344565,2.975389,61.339162,12.0
S00076,L0003,T01,76,390.113029,2.416297,189.707916,102,198.998394,70.321379,65.305859,3.542111,63.116977,12.0
S00220,L0011,T01,220,399.817399,2.427028,192.971525,97,125.867516,61.451425,65.849765,2.739221,65.920357,12.0
S00240,L0012,T01,240,376.860735,2.202141,202.237895,129,9.587581,0.926935,68.735405,1.759156,57.021263,6.02188
S00692,L0034,T01,692,381.412981,2.01461,210.806475,131,201.794534,1.356002,73.654874,4.233224,51.800787,-12.0
S00687,L0034,T02,687,387.082611,2.777367,191.162984,125,47.959236,132.009838,69.20755,2.419329,54.869848,3.77357
S00130,L0006,T01,130,385.010405,2.703702,181.970251,96,153.905275,138.043604,63.117556,3.54199,62.206552,12.0
S00435,L0021,T02,435,389.836477,2.51704,178.445847,106,137.086312,138.306603,67.772857,2.984955,61.32737,10.605443
S00359,L0017,T02,359,392.457524,2.360619,182.520016,112,54.342318,7.789186,68.256775,2.182394,63.075057,8.30107
S00003,L0000,T01,3,390.879123,2.36553,198.778547,122,32.862783,76.885926,67.759552,1.920831,63.997129,10.668801
S00104,L0005,T02,104,388.930303,2.380931,196.139201,136,13.934078,57.086374,74.251408,1.717834,51.93175,-12.0
S00187,L0009,T01,187,399.306302,2.103773,188.423501,82,3.748946,115.399493,64.201869,1.863709,65.472899,12.0
S00695,L0034,T01,695,387.473006,2.539941,192.773108,84,133.704113,159.607629,62.458003,2.643085,63.578624,12.0
S00501,L0025,T02,501,404.087641,2.602864,190.154949,122,131.31455,23.573584,73.20375,2.780528,56.776871,-12.0
S00288,L0014,T01,288,392.144033,2.500668,183.039829,110,168.62446,67.189086,68.647929,3.443304,60.888125,6.438432
S00426,L0021,T01,426,390.829305,2.979303,165.806088,106,191.328529,7.829351,67.609642,3.643442,61.157641,11.382655
S00581,L0029,T02,581,395.297917,2.675327,181.141765,131,163.605692,37.114389,73.969501,3.545771,53.095265,-12.0
S00138,L0006,T03,138,,2.87874,183.308931,91,123.879807,116.27551,60.706575,3.124956,66.928542,12.0
