sample_id,lot_id,tool_id,sequence,temp_c,pressure_torr,gas_flow_sccm,cycles,chamber_age_runs,hours_since_maintenance,thickness_nm,uniformity_pct,sheet_resistance_proxy,next_run_cycle_correction
S00067,L0003,T04,67,390.849116,1.852305,181.806771,99,97.314057,54.439852,63.00188,2.992039,67.869965,12.0
S00378,L0018,T03,378,382.947316,2.162846,172.119533,114,65.967729,44.276655,64.741856,2.371752,60.897253,12.0
S00147,L0007,T03,147,381.9062,2.780332,176.476308,117,216.442929,148.678588,63.736875,4.230322,69.897318,12.0
S00223,L0011,T01,223,393.432116,2.879338,200.675547,108,97.001726,21.487482,64.816927,2.739924,63.019982,12.0
S00116,L0005,T01,116,384.816166,2.536905,211.642212,122,206.240319,66.510775,67.676476,3.842078,60.369701,11.064402
S00204,L0010,T05,204,396.734194,2.914521,169.377923,123,238.188689,83.382069,66.033638,4.781042,61.302075,12.0
S00455,L0022,T01,455,4092.71998,1.988973,188.047507,137,87.401133,76.897076,73.499375,2.515113,52.881989,-12.0
S00464,L0023,T01,464,392.233714,2.245123,185.846726,125,195.656287,139.814793,70.521013,3.878364,57.410848,-2.481013
S00492,L0024,T01,492,392.656471,2.212246,178.531632,139,7.763919,79.724001,72.034182,1.581832,58.418814,-9.686583
S00337,L0016,T05,337,399.223592,2.222048,165.879964,105,156.660586,71.501239,66.378937,3.508091,58.361687,12.0
S00277,L0013,T02,277,382.731158,22.95692,193.063988,138,152.593979,70.958516,70.352648,3.554908,57.199648,-1.679277
S00021,L0001,T01,21,394.436969,2.452762,,85,210.301741,51.202469,59.013332,4.103148,68.972673,12.0
S00472,L0023,T02,472,401.592295,2.353363,184.755191,109,113.959392,58.180463,65.236849,2.768087,62.142784,12.0
S00388,L0019,T02,388,401.326937,2.395907,184.684709,103,221.505572,0.733804,64.423323,4.177343,63.316036,12.0
S00035,L0001,T01,35,397.030224,2.186934,177.506316,107,183.1147,70.126009,64.045391,3.853702,68.33348,12.0
S00290,L0014,T02,290,391.102535,2.611386,144.608611,131,25.312391,40.435926,69.21934,1.58277,59.204006,3.717429
S00753,L0037,T04,753,387.488299,2.393218,177.246565,98,90.500727,141.000856,63.752104,2.133569,64.934959,12.0
S00557,L0027,T03,557,381.08506,2.70162,186.886521,118,159.905797,141.843876,64.04324,3.353639,68.318147,12.0
S00017,L0000,T03,17,401.299396,2.166611,184.961863,102,203.705881,53.267949,65.472142,4.109529,60.946537,12.0
