sample_id,lot_id,tool_id,sequence,gate_cd_nm,eot_nm,channel_dose_proxy,anneal_temp_c,contact_resistance_proxy,vth_v,ion_proxy,ioff_proxy,retention_risk,spec_yield_pct
S00441,L0022,T01,441,42.87522,1.035979,0.998876,913.176618,88.300544,0.480221,1.168036,0.001073,0.023869,97.152226
S00555,L0027,T02,555,42.364526,1.187053,1.000046,928.71634,86.306728,0.544987,1.202591,0.000855,0.021351,96.694353
S00311,L0015,T01,311,42.729805,1.178709,1.001869,932.738637,81.188451,0.540026,1.202619,0.000666,0.020637,96.741192
S00046,L0002,T01,46,39.208881,1.395881,1.060698,934.101376,78.927513,0.503163,1.275364,0.000851,0.020191,98.519296
S00205,L0010,T01,205,41.545477,1.037742,0.98429,912.285585,78.946529,0.470024,1.263484,0.001196,0.025329,97.065906
S00086,L0004,T04,86,4.627358,1.261164,0.954884,909.419449,65.50486,0.688449,1.053057,0.000463,0.056208,94.239098
S00546,L0027,T01,546,38.703841,1.181888,0.930599,917.507794,67.127353,0.438801,1.344723,0.001933,0.031322,95.926605
S00614,L0030,T02,614,42.522033,1.062517,1.029492,892.800916,79.954452,0.511125,1.126412,0.000736,0.019117,98.890815
S00411,L0020,T02,411,43.883963,1.160868,0.984962,910.780249,80.559948,0.557624,1.148377,0.001023,0.023279,98.377628
S00012,L0000,T03,12,38.756738,1.112352,0.916375,926.826731,77.079347,0.463713,1.280035,0.001032,0.026442,98.826274
S00737,L0036,T01,737,39.825916,1.124872,0.907087,900.37075,76.421793,0.446186,1.244246,0.000618,0.029791,95.787713
S00483,L0024,T02,483,43.148404,1.133716,1.021692,937.978387,77.85138,0.560629,1.191938,0.001005,0.023763,96.215262
S00049,L0002,T02,49,42.343361,1.197406,0.972625,923.957176,74.118594,0.360915,1.277796,0.001457,0.020645,96.739297
S00766,L0038,T02,766,43.012552,1.058264,1.043316,922.555265,83.937454,0.575502,1.153601,0.000396,0.026301,96.163956
S00030,L0001,T01,30,42.334789,1.178568,0.96817,928.933716,73.408428,0.464714,1.229948,0.001215,0.026262,98.0391
S00214,L0010,T01,214,39.431876,1.031751,1.059477,926.73265,80.136773,0.528277,1.224081,0.000956,0.019039,98.424073
S00168,L0008,T03,168,43.492649,1.016832,1.054514,911.309932,89.022129,0.473026,1.052677,0.000909,0.025695,96.453882
S00317,L0015,T02,317,40.678979,1.130484,1.088023,900.653437,84.372349,0.586018,1.208147,0.00082,0.028254,96.030554
S00628,L0031,T02,628,41.123976,,0.960772,897.91577,67.653518,0.504979,1.120782,0.000835,0.019941,97.935609
S00173,L0008,T01,173,45.044627,1.245697,1.114927,944.520418,92.648668,0.655682,0.999312,0.000635,0.052774,93.781736
S00268,L0013,T01,268,41.731825,1.047231,0.959439,959.862029,88.920333,0.530753,1.269373,0.000944,0.019986,97.069759
S00313,L0015,T01,313,44.633988,1.254779,0.959661,918.941806,90.403875,0.596744,1.033659,0.000772,0.032969,95.823932
