sample_id,lot_id,tool_id,sequence,gate_cd_nm,eot_nm,channel_dose_proxy,anneal_temp_c,contact_resistance_proxy,vth_v,ion_proxy,ioff_proxy,retention_risk,spec_yield_pct
S00785,L0039,T01,785,,1.260733,1.019873,917.467535,74.903161,0.564547,1.201224,0.001193,0.024407,96.968109
S00502,L0025,T01,502,42.386828,1.095669,0.999567,917.665101,80.650134,0.484162,1.177716,0.000755,0.022997,96.54379
S00649,L0032,T01,649,42.522767,1.212943,0.996388,922.578902,89.007585,0.556451,1.244615,0.000956,0.023903,97.997013
S00210,L0010,T03,210,39.274642,1.073112,0.969306,915.877243,86.410372,0.421395,1.28394,0.001568,0.035238,96.539051
S00701,L0035,T01,701,40.547043,1.225098,0.879492,919.210635,102.541404,0.45415,1.111177,0.001707,0.046084,94.127791
S00248,L0012,T04,248,45.740407,1.054658,0.953738,933.666494,84.197904,0.609667,1.074816,0.000724,0.033171,97.500625
S00798,L0039,T02,798,45.213827,1.1737,0.915361,930.048313,82.201714,0.533428,1.12189,0.000811,0.019724,96.444335
S00023,L0001,T01,23,39.61852,1.185739,1.02,920.993396,65.957908,0.492322,1.366505,0.001208,0.021748,98.85472
S00776,L0038,T03,776,40.419884,1.180544,0.983366,908.023618,94.721644,0.296564,1.162354,0.002089,0.099689,90.646717
S00741,L0037,T02,741,,1.184439,1.023359,908.601972,91.740829,0.407687,0.999764,0.002288,0.043819,96.556149
S00538,L0026,T02,538,36.978031,1.197053,1.123409,914.683759,87.199542,0.474603,1.347961,0.001201,0.024549,98.448623
S00614,L0030,T04,614,40.686108,1.316262,0.959774,934.460317,77.925009,0.48121,1.261328,0.001304,0.023466,96.630453
S00604,L0030,T01,604,37.163634,1.253069,1.118543,929.442301,85.197067,0.606175,1.297917,0.000719,0.032396,95.175018
S00690,L0034,T01,690,41.422038,1.179233,0.949061,901.615236,80.689213,0.527445,1.117275,0.000769,0.01893,97.822244
S00350,L0017,T02,350,37.590962,1.026774,1.020203,944.272234,88.13794,0.669699,1.43198,0.000616,0.049865,96.044434
S00423,L0021,T03,423,43.282061,1.033685,1.010413,904.860809,77.837182,0.567437,1.20112,0.000732,0.024893,97.673991
S00605,L0030,T02,605,42.353738,1.166941,0.892517,919.465824,86.683162,0.477125,1.200821,0.001612,0.02413,97.904797
S00703,L0035,T02,703,40.659236,1.2132,1.085284,907.533714,72.329206,0.734174,1.278548,0.000514,0.075803,92.61753
S00078,L0003,T02,78,40.242278,1.082744,0.978056,934.012873,91.18804,0.637247,1.25347,0.000602,0.04446,95.698746
S00142,L0007,T01,142,41.919792,1.023191,1.047987,917.586456,99.665363,0.415662,1.188196,0.001337,0.054098,93.998431
S00521,L0026,T03,521,38.582637,1.049821,1.077706,895.209763,81.436242,0.480271,1.217813,0.001136,0.023617,97.506807
S00036,L0001,T03,36,455.03335,1.27943,1.001662,950.04501,85.334771,0.762776,1.146584,0.000323,0.091076,91.747029
S00292,L0014,T01,292,40.104542,1.1678,0.99679,931.942038,75.147499,0.400485,1.297313,0.00151,0.040567,93.713356
S00054,L0002,T04,54,39.779857,1.142072,1.022721,920.778547,82.896543,0.545378,1.179143,0.000621,0.021408,97.889953
S00496,L0024,T03,496,45.983783,1.098986,0.947642,897.716887,84.110527,0.444348,0.994364,0.001796,0.030165,97.887597
S00204,L0010,T03,204,44.44738,1.133168,1.02259,,72.095195,0.58253,1.152189,0.000723,0.027591,97.951958
S00637,L0031,T01,637,41.272632,1.222318,1.010192,933.140748,81.626374,0.496309,1.34878,0.000743,0.021162,97.362993
S00519,L0025,T04,519,39.740738,1.202208,1.080128,931.76458,90.991608,0.773898,1.290435,0.000505,0.107359,89.723122
S00715,L0035,T01,715,44.825964,1.170779,1.030447,934.434409,86.845494,0.71121,1.116754,0.000497,0.065282,92.926802
S00097,L0004,T03,97,45.840229,1.267459,0.979289,936.598888,68.873122,0.27133,1.2295,0.001958,0.09455,91.040286
S00768,L0038,T03,768,36.703414,1.003869,1.131091,934.246493,67.715836,0.149311,1.415269,0.006144,0.196996,78.69039
S00337,L0016,T01,337,41.623887,1.176009,1.020586,930.278723,82.498511,0.53963,1.175332,0.000872,0.020581,99.186022
S00290,L0014,T04,290,40.137037,1.078551,,895.199263,73.839666,0.815524,1.149156,0.000272,0.126603,87.44614
S00377,L0018,T01,377,44.111218,1.165074,0.949191,909.532893,85.577916,0.465859,1.007865,0.000925,0.026058,99.008927
S00707,L0035,T04,707,43.500983,1.168811,1.027083,959.918664,77.497463,0.332062,1.328407,0.001535,0.063898,93.300868
S00694,L0034,T04,694,34.965749,1.13931,0.958225,925.932225,64.101006,0.273859,1.478098,0.002126,0.093045,91.884554
S00558,L0027,T03,558,38.868733,0.949825,0.935404,922.9256,96.361623,0.515148,1.221905,0.001099,0.024762,97.146361
S00085,L0004,T01,85,,1.282945,1.026398,881.631504,85.023818,0.416413,1.057342,0.001074,0.036443,97.324405
S00792,L0039,T01,792,42.076268,1.064778,1.051116,942.458048,84.0039,0.580401,1.218251,0.000559,0.027194,98.102498
S00582,L0029,T02,582,40.427901,1.102009,0.944268,925.16784,77.934736,0.424709,1.226887,0.000685,0.034457,96.303307
S00426,L0021,T04,426,42.328245,1.031717,0.842669,909.657471,83.281012,0.462032,1.189586,0.001432,0.026747,97.429243
S00665,L0033,T02,665,41.771305,1.219439,1.04799,912.751776,79.640992,0.590822,1.240888,0.000913,0.029192,97.380854
S00489,L0024,T01,489,41.99728,0.984432,1.026516,906.551513,90.164676,0.33843,1.226929,0.002058,0.065789,93.982276
S00131,L0006,T01,131,42.461177,1.072119,1.007316,916.410615,73.042424,0.536603,1.222971,0.000992,0.020158,96.290372
S00652,L0032,T01,652,42.460814,1.093625,0.979436,910.98597,78.905914,0.534912,1.108742,0.001082,0.019926,96.443116
S00738,L0036,T04,738,44.49104,1.186277,0.884827,896.506424,97.935582,-0.026169,0.972077,0.005376,0.542629,50.0
S00164,L0008,T01,164,39.736075,1.108199,1.09078,894.368305,89.688311,0.195166,1.15529,0.001849,0.158816,83.150303
S00083,L0004,T04,83,43.35029,1.133595,0.919201,918.139457,76.3625,0.562432,1.177064,0.000465,0.024057,72.469922
S00746,L0037,T03,746,40.776715,1.201743,,935.363777,73.897147,0.317499,1.296673,0.001412,0.070274,94.077324
S00364,L0018,T04,364,42.370191,1.294365,0.966668,919.877449,77.339685,0.585616,1.19812,0.001066,0.028176,97.696607
S00495,L0024,T02,495,42.080432,1.127414,0.953197,928.492338,76.691663,0.430404,1.237996,0.001226,0.033156,98.07459
S00483,L0024,T01,483,40.395417,1.128062,1.049363,938.278601,89.116743,0.674764,1.223888,0.000682,0.053274,93.21507
S00325,L0016,T03,325,42.061781,1.188699,0.834392,917.957405,71.080679,0.498982,1.243501,0.000872,0.020778,98.001153
S00135,L0006,T01,135,41.141929,1.023285,1.013927,922.281859,79.475938,0.466852,1.319194,0.001367,0.025882,97.751046
S00224,L0011,T02,224,39.051272,1.30791,1.014455,917.499342,71.938373,0.573725,1.312119,0.000683,0.025985,99.339166
S00312,L0015,T02,312,42.274387,1.306692,1.020643,932.725458,81.120611,0.548953,1.18203,0.000729,0.021938,98.951101
S00698,L0034,T01,698,44.936042,1.277886,0.945226,921.961262,91.575656,0.57064,1.101965,0.000631,0.028738,96.549164
S00718,L0035,T01,718,43.471291,1.246119,1.011556,930.167636,92.640849,0.727727,1.230619,0.000339,0.084441,93.247095
S00514,L0025,T01,514,41.761778,1.032104,1.030255,909.618281,82.090007,0.481173,1.13624,0.001432,0.023472,97.795438
S00059,L0002,T02,59,42.953977,1.123878,1.066565,928.693537,92.879104,0.680019,1.142439,0.000456,0.062438,93.855329
S00331,L0016,T01,331,43.210353,1.081882,0.946244,957.557949,82.282595,0.517562,1.187116,0.001295,0.01829,98.385752
S00091,L0004,T02,91,40.153869,1.131156,1.066408,946.370693,83.985479,0.572703,1.244515,0.000917,0.025804,98.188234
S00587,L0029,T01,587,38.630293,1.078656,1.012941,924.820526,93.592092,0.57829,1.26957,0.000884,0.032413,96.579794
S00102,L0005,T03,102,38.482176,1.103901,0.910581,,78.315779,0.47617,1.304292,0.00098,0.024288,97.12077
S00427,L0021,T01,427,40.751791,1.256159,0.951086,941.444017,77.718412,0.372407,1.343609,0.00107,0.048946,94.671046
S00289,L0014,T01,289,42.629306,1.170215,1.047298,897.766451,77.413267,0.69305,1.189058,0.00046,0.057941,93.626989
S00026,L0001,T01,26,39.948576,1.150972,0.923035,923.760138,78.015987,0.484663,1.305391,0.001521,0.022918,97.33352
S00567,L0028,T02,567,43.866545,1.231261,0.991235,925.861095,74.434993,0.481646,1.244408,0.00074,0.023396,97.040246
S00773,L0038,T03,773,38.925632,1.167798,1.009621,932.755791,87.687854,0.57495,1.240744,0.000906,0.026203,98.032885
S00092,L0004,T01,92,44.037131,1.099909,0.927008,915.35448,70.726995,0.592821,1.181286,0.000869,0.029591,97.365898
S00159,L0007,T01,159,40.509099,1.235094,0.979502,945.074755,85.478347,0.644644,1.343249,0.000337,0.041987,97.046368
S00084,L0004,T01,84,46.393988,1.201381,1.071798,909.77188,81.320049,0.615011,1.028518,0.000831,0.034392,96.935965
S00584,L0029,T01,584,44.829044,1.134398,0.983255,921.553091,81.473725,0.545821,1.102666,0.000674,0.021473,97.9415
S00025,L0001,T01,25,39.888291,1.073284,1.029452,921.360226,85.36172,0.506378,1.307244,0.001205,0.01975,97.511907
S00262,L0013,T01,262,41.002182,1.291939,0.861812,937.283249,64.633263,0.037377,1.387235,0.004868,0.349408,65.756271
S00223,L0011,T01,223,42.905127,1.230927,0.90436,938.376856,82.018757,0.531681,1.193333,0.001141,0.019489,97.72674
S00516,L0025,T01,516,,1.075776,0.925018,946.949864,92.936726,0.94112,1.209371,0.000252,0.293308,70.189095
S00148,L0007,T01,148,41.733368,1.210183,0.935217,914.948934,89.729565,0.451603,1.178833,0.001535,0.030452,97.838843
S00404,L0020,T03,404,39.274445,1.077806,0.926425,898.769361,96.737669,-0.031179,1.191052,0.003161,0.540926,50.0
S00545,L0027,T03,545,41.537833,1.130296,1.066431,907.023101,74.199428,0.690503,1.232205,0.00059,0.056975,91.691659
S00380,L0019,T03,380,42.98654,1.281151,0.986011,945.99991,92.786979,0.949804,1.140083,0.00025,0.304952,69.832016
