sample_id,lot_id,tool_id,sequence,oes_peak_ratio,endpoint_slope,rf_source_w,rf_bias_w,pressure_mtorr,gas_flow_sccm,esc_temp_c,chamber_age_runs,endpoint_time_s,cd_bias_nm,selectivity,overetch_risk
S00627,L0031,T02,627,1.007336,-0.033875,832.649543,179.401515,29.907866,102.785768,18.90525,152.901851,63.819759,-0.122417,4.979219,0.049399
S00196,L0009,T01,196,1.048187,-0.043934,944.512404,195.130327,26.569967,103.338896,17.547031,56.365445,66.170492,-0.97028,4.932756,0.065351
S00449,L0022,T03,449,1.030856,-0.045969,824.347355,194.693803,26.346681,116.86038,17.927922,65.981832,62.388247,-1.676595,4.87508,0.082172
S00490,L0024,T01,490,1.00619,-0.046472,813.008944,198.362705,27.496043,110.162109,17.591201,85.36446,62.508088,-0.163926,3.564188,0.050086
S00112,L0005,T04,112,0.904897,-0.05212,823.276648,180.901826,29.13457,91.315182,19.757898,56.13284,61.395891,-1.438727,4.730393,0.076108
S00534,L0026,T04,534,0.886253,-0.042029,738.842242,202.812498,28.676349,114.770762,19.806319,112.988511,61.95323,-0.884503,3.556537,0.063541
S00711,L0035,T01,711,0.992276,-0.03496,831.099688,161.68031,25.246212,96.226907,293.509735,136.405389,71.242237,-2.209797,4.849334,0.149283
S00695,L0034,T01,695,1.050858,-0.050597,779.724317,203.586348,28.74627,107.129929,18.837655,53.78157,62.282805,-1.915146,3.691389,0.088693
S00041,L0002,T01,41,0.990145,-0.047205,860.55256,155.990355,29.520032,94.631964,18.347778,116.456522,68.246272,-1.566886,5.7445,0.082062
S00406,L0020,T01,406,0.929368,-0.025501,791.452363,213.608449,24.496891,103.373042,17.176921,85.34431,66.001447,-0.645405,3.419522,0.058739
S00387,L0019,T01,387,0.931524,-0.033009,774.328503,202.5101,25.457908,101.184673,17.244675,144.477947,64.70769,-0.385919,4.290227,0.053915
