sample_id,lot_id,tool_id,sequence,oes_peak_ratio,endpoint_slope,rf_source_w,rf_bias_w,pressure_mtorr,gas_flow_sccm,esc_temp_c,chamber_age_runs,endpoint_time_s,cd_bias_nm,selectivity,overetch_risk
S00092,L0004,T02,92,0.995105,-0.067998,904.009209,181.882396,30.131202,95.864199,18.103581,179.163699,65.492508,-1.297603,4.081939,0.072707
S00321,L0016,T02,321,0.90545,-0.061703,949.7941,191.263955,29.848645,99.14705,18.055622,47.598854,65.815049,0.123375,4.332766,0.049415
S00736,L0036,T01,736,0.981131,-0.059616,818.984092,182.563231,27.941223,106.809077,17.01357,45.831738,63.019312,-3.271542,4.951878,0.135292
S00638,L0031,T01,638,1.021762,-0.045263,816.75061,214.371597,28.97794,100.198261,18.305023,27.001098,64.634805,-1.288394,3.319359,0.07249
S00402,L0020,T03,402,1.11916,-0.054729,786.544612,219.264862,29.019477,115.828658,17.858193,10.019851,66.07903,-0.242412,3.547425,0.051409
S00634,L0031,T01,634,1.041587,-0.035867,923.500071,193.619641,,115.382259,17.198105,104.37323,64.514391,-0.842116,5.0354,0.062664
S00518,L0025,T01,518,1.126462,-0.039939,785.299161,202.551253,28.261557,108.356526,18.407301,172.804406,59.989976,-0.782978,3.663112,0.061459
S00015,L0000,T03,15,1.150824,-0.054875,775.168248,194.739137,28.79611,101.952212,18.764762,53.970854,61.306674,-1.355722,4.111902,0.07409
S00284,L0014,T01,284,0.951123,-0.047701,894.252405,230.035046,31.021208,95.191293,18.475432,12.23645,66.547533,-1.275326,3.351959,0.072183
S00404,L0020,T03,404,1.008528,-0.032375,945.462945,187.318219,25.182627,122.047191,18.253343,32.242587,65.236137,0.211571,4.049452,0.050886
S00215,L0010,T01,215,0.905217,-0.064532,806.884739,194.861345,26.98402,92.049885,,16.570779,62.722537,-1.43694,3.783833,0.076064
S00435,L0021,T01,435,1.096083,-0.037131,821.674956,189.501302,29.682995,86.006843,18.937562,38.809659,66.297174,-1.583767,3.623767,0.079755
S00484,L0024,T02,484,0.962205,-0.04979,833.883161,175.503751,19.419747,95.693121,17.979082,127.693488,62.891014,-1.306564,5.035177,0.072918
S00510,L0025,T01,510,1.035387,-0.047376,870.605316,172.197456,25.133803,106.690789,17.815861,8.018731,62.319784,-2.027436,5.040167,0.091921
S00792,L0039,T01,792,1.045215,-0.044163,739.885917,238.079211,29.572094,114.16225,19.00695,135.42975,57.88835,-1.276547,2.785816,0.072211
S00719,L0035,T01,719,1.041461,-0.04349,850.272374,169.525588,28.911268,89.81273,20.290083,71.676592,67.932309,-0.688084,3.607323,0.059571
S00764,L0038,T01,764,1.028456,-0.04766,956.806834,153.148401,28.133284,94.27043,17.549335,43.239168,67.059486,-1.055572,5.990907,0.067198
S00488,L0024,T04,488,1.093485,-0.035355,844.160304,188.329403,27.414341,114.851645,19.666618,1.29469,63.002373,-1.530029,4.759987,0.078385
S00675,L0033,T02,675,0.809787,-0.032974,758.063275,212.423222,29.58796,107.884689,16.053401,29.650422,65.719837,-0.835434,3.706804,0.062526
S00564,L0028,T02,564,1.076402,-0.03307,872.373929,212.338257,28.597608,,18.160778,47.054903,62.033455,0.077791,4.273689,0.048671
