sample_id,lot_id,tool_id,sequence,pressure_mean,pressure_std,temperature_c,rf_power_w,gas_flow_sccm,motor_current_a,vibration_rms,endpoint_slope,step_duration_s,anomaly_type,anomaly_score,yield_loss_proxy
S00796,L0039,T01,796,25.990748,0.395945,43.578407,831.209495,104.747284,11.464061,0.789751,-0.039205,67.835264,NORMAL,0.227473,9.824196
S00470,L0023,T04,470,28.389926,0.341838,42.900293,849.117904,109.269391,10.979414,1.085241,-0.041393,70.851973,NORMAL,0.249061,12.073749
S00168,L0008,T03,168,27.358461,0.516732,45.051772,748.558057,107.65063,12.626871,1.029295,-0.030842,74.486134,NORMAL,0.397188,12.20699
S00159,L0007,T03,159,29.477923,0.565096,43.825414,833.05295,107.212524,11.83313,1.090213,-0.026786,74.627555,NORMAL,0.320356,13.488865
S00591,L0029,T02,591,28.471332,0.195816,47.75528,812.426485,100.671615,12.005281,1.063804,-0.035756,72.980967,NORMAL,0.157405,7.898839
S00141,L0007,T03,141,28.227564,0.333904,43.116824,847.543541,100.195503,12.029052,0.970372,-0.056345,78.012607,NORMAL,0.206306,6.267721
S00695,L0034,T04,695,27.496991,0.463711,43.948842,809.06022,103.570146,11.375742,0.651961,-0.035735,72.788472,NORMAL,0.168428,10.57434
S00293,L0014,T01,293,28.307237,0.376671,46.89028,815.371181,105.250864,12.440347,1.206478,-0.049759,73.70598,NORMAL,0.222721,7.946508
S00700,L0035,T01,700,29.080037,0.44404,43.523655,869.517745,104.902907,10.863474,0.847339,-0.027137,70.73637,NORMAL,0.300641,6.125428
S00580,L0029,T02,580,24.685897,0.250747,44.513589,787.086185,103.548342,12.345656,0.710964,-0.03796,73.280719,NORMAL,0.310676,7.249861
S00548,L0027,T02,548,25.960474,0.662425,44.43903,833.52752,109.084928,11.512557,0.864935,,66.42804,NORMAL,0.317635,8.276506
S00087,L0004,T02,87,28.640273,0.304293,42.03908,848.672893,102.082342,13.223744,1.103303,-0.038115,73.70724,NORMAL,0.255595,8.269959
S00154,L0007,T03,154,29.713699,0.260317,44.641033,792.193778,101.541451,13.285001,0.788779,-0.033402,69.730067,NORMAL,0.22028,9.430887
S00723,L0036,T04,723,28.038791,0.063248,43.723973,834.471779,103.23834,10.876092,0.756435,-0.072677,75.099952,NORMAL,0.053931,6.263445
