sample_id,lot_id,tool_id,sequence,pressure_mean,pressure_std,temperature_c,rf_power_w,gas_flow_sccm,motor_current_a,vibration_rms,endpoint_slope,step_duration_s,anomaly_type,anomaly_score,yield_loss_proxy
S00096,L0004,T02,96,28.064595,0.19397,319.614148,880.240679,103.466301,11.221103,1.182699,-0.032765,67.639752,NORMAL,0.297999,9.725699
S00035,L0001,T04,35,27.560761,0.400822,42.713463,807.156997,99.564278,11.387522,1.411956,-0.045758,77.956862,NORMAL,0.307264,14.163281
S00608,L0030,T02,608,28.053495,0.137482,43.183942,791.027291,95.889288,13.209731,0.682219,-0.047757,73.873345,NORMAL,0.109477,0.0
S00259,L0012,T01,259,27.880134,0.370692,44.186537,780.892007,102.496412,11.874193,,-0.0402,68.627229,NORMAL,0.196436,4.050877
S00393,L0019,T02,393,28.042121,0.346443,45.614341,788.680031,105.604993,12.476994,0.837936,-0.034594,70.618492,NORMAL,0.176501,7.724368
S00105,L0005,T03,105,27.462541,0.186151,43.356896,828.575498,99.497621,13.859751,0.686385,-0.035728,70.386288,NORMAL,0.09485,8.169722
S00760,L0038,T01,760,29.898657,0.351632,46.999552,836.170974,102.454417,12.013665,1.141986,-0.028213,72.680362,NORMAL,0.308765,13.204727
S00307,L0015,T01,307,29.187069,0.425707,43.462892,797.970603,101.631008,12.21772,0.722971,-0.047743,69.584371,NORMAL,0.220854,9.373386
S00170,L0008,T01,170,28.109557,0.292492,43.35192,791.359777,104.216829,10.897678,0.869203,-0.039777,74.673991,NORMAL,0.167502,7.744935
S00577,L0028,T02,577,26.471406,0.327677,43.880083,798.024776,101.828337,11.446245,0.670571,-0.039336,76.861243,NORMAL,0.213287,9.475949
S00477,L0023,T01,477,27.019338,0.296443,44.727078,797.901214,99.67712,10.052718,0.97366,-0.03921,75.791274,NORMAL,0.221806,10.801247
S00272,L0013,T01,272,27.862737,0.30461,43.407679,841.805218,100.386119,11.048412,0.951399,-0.050078,70.978021,NORMAL,0.175378,3.618407
S00556,L0027,T01,556,27.329722,0.364072,44.415047,779.11449,106.453099,11.415209,0.779629,-0.04785,74.613905,NORMAL,0.226746,10.524732
S00599,L0029,T01,599,28.928488,0.432045,44.156897,824.520715,105.345487,12.08403,0.987656,-0.034278,70.877386,NORMAL,0.212651,8.719029
