sample_id,lot_id,tool_id,sequence,aspect_ratio,pattern_density,gas_ratio,rf_bias_w,pressure_mtorr,etch_time_s,etch_depth_nm,top_cd_nm,bottom_cd_nm,sidewall_angle_deg,bowing_nm
S00012,L0000,T01,12,43.228472,0.265542,0.707086,215.703882,18.518576,152.233118,2051.076361,75.086079,72.676121,89.909583,-3.37561
S00678,L0033,T02,678,39.262129,0.693988,0.503691,268.815781,16.756253,144.306983,2076.124639,72.241176,67.250016,90.167821,0.905993
S00771,L0038,T03,771,50.516916,0.224446,0.68713,341.124697,17.905242,149.079107,2197.408549,74.960234,66.204755,89.712801,9.767997
S00025,L0001,T02,25,57.838045,0.467627,0.376953,412.623781,18.794397,134.629614,2041.222042,73.771725,57.719261,89.341334,20.654024
S00480,L0024,T03,480,51.183749,0.581355,0.714516,366.155894,,142.790355,2011.522197,74.206396,63.96731,89.808328,11.87428
S00185,L0009,T01,185,28.17444,0.664374,0.630845,297.851166,17.72466,146.416235,2174.283703,74.621733,70.280896,89.89739,2.6669
S00406,L0020,T02,406,27.021848,0.726389,0.648307,314.087738,19.713174,139.983055,2119.732324,73.73292,68.77363,90.078116,4.033343
S00773,L0038,T02,773,37.185425,0.667931,0.746234,346.349546,14.479861,136.541546,2067.816481,75.424346,68.228007,89.950671,8.222112
S00486,L0024,T03,486,41.341778,0.413385,0.628321,326.139242,21.994332,152.094027,2135.901636,72.649132,66.28489,89.575211,7.518414
S00264,L0013,T03,264,,0.174977,0.737282,322.043796,19.644183,123.861888,2035.857188,75.769141,69.822718,89.828669,7.485494
S00137,L0006,T01,137,39.188074,0.564586,0.369836,395.934375,19.151733,115.137733,1924.238639,71.895168,59.608124,89.76659,13.969599
S00193,L0009,T02,193,57.412887,0.806237,0.453205,266.628549,20.158707,138.834227,1884.931167,73.207451,68.399915,89.90955,-1.112101
S00016,L0000,T03,16,31.590722,0.822885,0.608954,288.68775,11.278123,140.642119,2070.176037,74.204205,65.666066,89.720811,4.441907
S00228,L0011,T01,228,37.103864,0.379168,0.377912,297.011577,20.250938,137.185642,2032.747165,73.523737,68.666101,89.924087,4.326479
S00401,L0020,T01,401,60.461774,0.236371,0.354588,243.183698,17.79572,134.260951,1895.315763,72.594471,67.832459,89.515743,-3.791287
S00411,L0020,T03,411,46.627201,0.805037,0.374975,321.338222,,137.513927,1999.411957,70.527157,63.607352,89.925044,5.543064
S00747,L0037,T02,747,23.260526,0.435381,0.458288,247.272833,23.554978,138.168636,2077.268687,73.202034,69.948277,89.773745,3.122918
S00426,L0021,T01,426,57.770908,0.693964,0.591763,325.185539,16.285676,141.426327,1964.317613,71.922287,62.59849,89.699883,7.013526
