sample_id,lot_id,tool_id,sequence,aspect_ratio,pattern_density,gas_ratio,rf_bias_w,pressure_mtorr,etch_time_s,etch_depth_nm,top_cd_nm,bottom_cd_nm,sidewall_angle_deg,bowing_nm
S00013,L0000,T02,13,36.342086,0.778176,0.68451,295.005173,22.28349,164.426446,2178.375143,71.821415,62.404046,89.74396,11.885001
S00448,L0022,T02,448,27.290916,0.673901,0.371247,217.843032,20.211793,157.119604,2121.179884,74.032694,69.310922,89.915718,7.768355
S00163,L0008,T01,163,48.855725,0.495402,0.623425,356.159448,18.974574,147.282545,2121.538842,74.218549,66.456468,89.902793,7.457192
S00395,L0019,T01,395,57.066134,0.523253,0.444451,276.325013,21.806439,144.843071,2051.142914,72.876587,60.296475,89.659678,9.882305
S00275,L0013,T03,275,31.961965,0.189031,0.457791,335.277441,21.024707,163.090183,2233.222374,75.735862,69.733929,89.845524,7.212305
S00624,L0031,T01,624,63.335756,0.744062,0.423694,356.132974,22.595396,125.248046,1858.865741,74.653945,62.615648,89.72614,14.186377
S00704,L0035,T01,704,60.452724,0.592368,0.5573,284.603561,20.690411,,2000.533218,72.433783,62.710003,89.781627,9.821624
S00683,L0034,T01,683,29.174193,0.719873,0.365358,281.707531,19.284866,125.877984,1992.753159,71.674666,65.886781,89.876899,4.031844
S00219,L0010,T01,219,20.20308,0.729213,0.505201,293.896626,20.737296,119.590435,1954.082454,74.096652,68.979862,89.8598,7.845686
S00542,L0027,T02,542,60.632294,0.400879,0.452432,317.405824,19.61694,150.876719,2075.18752,72.391024,60.62317,89.891317,8.62906
S00771,L0038,T01,771,28.769735,0.398303,0.371566,317.550567,22.253192,160.782706,2247.806247,75.964046,71.183929,89.792727,10.776063
S00500,L0025,T01,500,40.215137,0.384266,0.462316,348.914724,18.85908,127.823612,2039.090629,74.01632,68.469202,89.622849,4.913749
S00589,L0029,T01,589,,0.807693,0.575259,276.978139,17.87201,165.871488,2157.725231,72.706634,65.492614,89.890847,3.920556
S00093,L0004,T01,93,57.436466,0.6575,0.732334,257.601651,16.588986,134.53379,1924.547051,76.525254,66.247034,89.790445,3.084561
