sample_id,lot_id,tool_id,sequence,field_x,field_y,reticle_id,align_quality,ambient_temp_c,overlay_x_nm,overlay_y_nm,residual_nm,spec_pass
S00477,L0023,T01,477,-0.832723,-0.845826,1,0.850325,22.163008,1.937126,-2.822254,3.423094,PASS
S00165,L0008,T02,165,0.180007,-0.994369,1,0.769713,21.701696,2.388203,-3.009447,3.841912,PASS
S00045,L0002,T02,45,0.199754,-0.0667,3,1.0,22.709949,4.526687,-1.721494,4.842978,PASS
S00351,L0017,T01,351,0.666553,0.528598,2,0.726604,23.546178,5.325023,2.099514,5.72397,PASS
S00169,L0008,T03,169,-0.704295,0.735769,1,0.608177,22.015865,1.563177,4.173075,4.456241,PASS
S00339,L0016,T01,339,-0.093978,-0.54176,1,0.550943,22.530373,0.485827,-1.692134,1.760496,PASS
S00095,L0004,T02,95,0.754255,-0.378432,4,0.902487,22.952152,13.237443,-7.993401,15.463646,FAIL
S00368,L0018,T01,368,0.033914,-0.390457,1,0.714433,22.244662,2.632196,-0.048905,2.63265,PASS
S00652,L0032,T03,652,-0.568829,0.294092,3,0.910297,21.124233,3.681013,-1.104769,3.843224,PASS
S00781,L0039,T01,781,0.925091,-0.468652,1,0.661597,21.373976,10.596821,-6.69631,12.535277,FAIL
S00772,L0038,T01,772,0.870271,-0.547392,2,0.943295,20.714353,12.53145,-10.972389,16.656247,FAIL
S00552,L0027,T04,552,0.176938,-0.477951,1,0.850882,20.935001,2.470341,-2.89939,3.809074,PASS
S00613,L0030,T01,613,-0.856561,,4,0.761307,22.966913,2.015782,2.94596,3.569602,PASS
S00550,L0027,T02,550,0.127076,0.689667,4,0.91218,21.754739,8.216079,1.426285,8.338959,FAIL
S00398,L0019,T03,398,-0.404223,-0.509653,2,0.995276,22.444963,0.291685,-0.859766,0.907897,PASS
S00025,L0001,T02,25,0.109037,0.069421,1,0.927098,22.364686,1.942884,-0.301617,1.966157,PASS
S00270,L0013,T01,270,-0.224727,0.142218,2,0.81634,22.540902,2.890563,1.079972,3.085724,PASS
S00445,L0022,T01,445,-0.293201,0.138787,2,0.880682,22.127905,1.314046,1.269563,1.827158,PASS
S00267,L0013,T01,267,-0.758642,0.614408,3,0.740573,21.488227,-1.019743,1.094566,1.495978,PASS
S00073,L0003,T01,73,-0.945243,-0.805076,3,0.773529,23.123529,1.421643,0.061088,1.422954,PASS
S00141,L0007,T01,141,0.258098,0.072875,3,0.813863,20.306359,4.644992,0.338488,4.657309,PASS
S00238,L0011,T01,238,,-0.686514,3,0.663957,20.301675,13.31043,-6.888078,14.9871,FAIL
S00069,L0003,T02,69,-0.082148,-0.417676,2,0.97281,22.586085,0.204833,-3.017101,3.024046,PASS
S00795,L0039,T02,795,0.662891,0.855972,1,0.883489,21.770008,4.660398,1.390805,4.863502,PASS
S00543,L0027,T02,543,0.846957,0.329911,,0.866224,22.041038,4.795373,1.200345,4.943321,PASS
S00676,L0033,T03,676,-0.597538,-0.079647,2,0.905207,22.448959,-0.256322,0.014431,0.256728,PASS
S00399,L0019,T01,399,0.478482,0.680035,1,0.8236,23.6709,3.060589,1.21601,3.29331,PASS
S00692,L0034,T01,692,0.52068,-0.229019,3,0.866948,22.320138,6.286008,-1.625251,6.492714,PASS
S00245,L0012,T01,245,0.138115,0.417926,2,0.679796,23.433651,1.889937,0.471632,1.947896,PASS
S00157,L0007,T03,157,0.13104,0.418709,2,0.799656,22.65705,2.598803,-0.003179,2.598805,PASS
S00321,L0016,T04,321,0.004263,-0.018151,3,0.802305,21.635695,5.996492,0.019038,5.996523,PASS
S00355,L0017,T02,355,0.900223,0.404628,3,0.694218,21.641814,5.651581,0.858134,5.716359,PASS
S00699,L0034,T01,699,-0.029745,-0.850873,3,0.989638,22.694346,4.204907,-2.098047,4.69926,PASS
S00621,L0031,T01,621,-0.186608,,4,0.71609,22.145046,4.550042,-0.298593,4.559829,PASS
S00100,L0005,T01,100,-0.399282,-0.519715,1,0.757408,23.111657,1.626577,-1.863931,2.473861,PASS
S00190,L0009,T01,190,0.822714,0.447729,4,0.89441,22.961191,7.413806,-0.468416,7.428589,PASS
S00754,L0037,T01,754,,-0.471939,4,0.903408,22.860968,2.131029,-3.268688,3.902001,PASS
S00537,L0026,T01,537,-0.532617,-0.358247,4,0.879728,20.488685,4.025634,1.208355,4.203076,PASS
S00680,L0034,T01,680,-0.345693,0.554896,2,0.507933,21.928249,2.498866,3.416741,4.233019,PASS
S00164,L0008,T02,164,-0.27696,0.354318,2,0.828366,21.555185,1.457906,-1.751295,2.278711,PASS
S00113,L0005,T01,113,0.043608,-0.892695,1,0.883392,21.190635,2.080616,-2.584854,3.318198,PASS
S00226,L0011,T01,226,,-0.71832,4,0.661696,21.332412,6.227942,0.332962,6.236836,PASS
S00726,L0036,T02,726,-0.990973,0.017091,3,0.972472,20.58802,-0.645862,-2.28886,2.378238,PASS
S00607,L0030,T01,607,0.386665,,2,0.864726,23.120428,3.503079,0.24593,3.511701,PASS
S00511,L0025,T04,511,0.582962,0.496275,3,0.719386,21.418548,4.307288,2.100191,4.792028,PASS
S00336,L0016,T01,336,-0.816829,0.908446,2,0.884346,22.179852,1.861414,1.638603,2.479895,PASS
S00076,L0003,T03,76,-0.384604,0.114294,2,0.707029,21.254753,0.176163,1.903345,1.91148,PASS
S00137,L0006,T02,137,0.986259,-0.748862,3,0.681922,22.314152,12.401764,-5.072397,13.398991,FAIL
S00139,L0006,T01,139,0.83409,0.117589,3,0.910365,22.66465,7.226635,0.101835,7.227353,PASS
S00522,L0026,T01,522,0.179578,-0.991421,1,0.87854,22.507262,3.840075,-1.553332,4.142344,PASS
S00332,L0016,T03,332,-0.113292,0.479574,2,1.0,21.434064,3.888731,1.711336,4.248635,PASS
S00651,L0032,T04,651,0.638304,-0.308052,4,0.896555,22.980585,7.356798,0.163309,7.35861,PASS
S00736,L0036,T01,736,0.652986,0.212029,2,1.0,23.740328,5.026467,1.048746,5.134709,PASS
S00163,L0008,T01,163,0.303187,0.767843,1,0.86702,22.334773,4.090211,0.300862,4.101262,PASS
S00499,L0024,T01,499,-0.252139,-0.508793,2,0.843197,22.174448,2.087838,-2.961998,3.623879,PASS
S00751,L0037,T03,751,-0.394631,0.272914,2,0.845479,21.775174,2.279767,0.547251,2.34453,PASS
S00481,L0024,T02,481,0.187758,-0.056558,3,0.751345,21.165809,5.040717,1.814039,5.357198,PASS
S00176,L0008,T01,176,0.273686,-0.273738,1,0.823289,21.45634,2.314634,0.719798,2.423972,PASS
S00239,L0011,T02,239,0.934849,0.950267,3,0.814297,22.162496,5.048544,1.428019,5.246621,PASS
S00731,L0036,T01,731,0.784755,0.067237,4,0.960984,23.336142,7.762712,-0.075226,7.763076,PASS
S00674,L0033,T01,674,-0.676196,0.784989,4,0.859906,21.14159,3.077059,2.288228,3.834616,PASS
S00232,L0011,T01,232,-0.542108,-0.636087,4,0.900343,22.596148,2.911931,-0.858603,3.035876,PASS
S00316,L0015,T03,316,-0.669197,0.870973,,0.768017,23.959266,0.763626,2.039389,2.177667,PASS
S00706,L0035,T02,706,0.874539,0.793173,1,0.968368,24.182584,6.418813,0.603281,6.4471,PASS
S00132,L0006,T02,132,-0.358344,-0.557242,3,0.784654,21.327031,2.577061,-0.890489,2.726575,PASS
S00440,L0022,T01,440,-0.919685,0.182255,1,0.575821,22.589533,-1.892955,2.00184,2.755111,PASS
S00427,L0021,T03,427,-0.706099,0.990189,4,0.774152,,2.735536,0.862351,2.868241,PASS
S00354,L0017,T02,354,-0.11607,0.131443,3,0.877288,21.585325,4.071637,-0.552496,4.108951,PASS
S00746,L0037,T02,746,0.644873,-0.114767,2,0.955229,22.58937,3.810103,-0.354653,3.826573,PASS
S00614,L0030,T04,614,0.397685,0.349011,1,0.853895,21.46403,3.644259,1.361349,3.890231,PASS
S00043,L0002,T04,43,0.701575,0.643413,4,0.864214,21.840499,5.918551,1.321125,6.064208,PASS
S00315,L0015,T01,315,-0.912693,0.512793,2,0.825104,21.510907,0.559144,0.42612,0.703008,PASS
S00596,L0029,T04,596,-0.074987,-0.349969,1,0.885941,22.107616,0.742186,-0.560552,0.930086,PASS
S00083,L0004,T01,83,-0.651397,-0.911572,1,0.817953,21.983634,-3.063897,-1.436082,3.383755,PASS
S00682,L0034,T01,682,0.613336,0.415665,3,0.925622,22.362986,5.84487,-0.316216,5.853417,PASS
S00040,L0002,T02,40,0.383167,-0.133329,2,1.0,22.922053,3.509704,-3.80372,5.175549,PASS
S00106,L0005,T01,106,0.906306,0.139514,1,0.981022,20.930707,4.028071,-0.162309,4.03134,PASS
S00493,L0024,T01,493,0.839653,-0.384422,2,0.643982,21.604101,12.152077,-7.967151,14.530949,FAIL
S00471,L0023,T01,471,0.351107,0.876478,2,0.939774,21.223615,3.043434,1.014516,3.208073,PASS
S00341,L0017,T01,341,-0.24078,-0.625132,4,0.828676,21.983304,4.435085,-0.668951,4.485251,PASS
S00358,L0017,T02,358,-0.896452,-0.186674,1,0.804619,22.430384,0.344603,0.380832,0.513599,PASS
S00188,L0009,T01,188,0.287719,0.991626,4,0.840711,22.332117,7.133376,1.327938,7.255926,PASS
