sample_id,lot_id,tool_id,sequence,pr_tone,retained_pattern_source,nominal_cd_nm,exposure_dose_mj_cm2,normalized_dose_pct,focus_um,coat_thickness_nm,softbake_temp_c,peb_temp_c,develop_time_s,developer_concentration_pct,field_x,field_y,resist_line_cd_nm,cdu_3sigma_nm,ler_nm,scum_probability,pattern_collapse_probability,defect_probability,spec_pass
S00680,L0034,T01,680,NEGATIVE,EXPOSED,50.0,77.778862,99.71649,-0.049413,99.650608,98.711963,99.645631,60.790611,2.355064,0.167562,-0.091982,49.500541,2.367145,2.543734,0.113282,0.053154,0.051232,PASS
S00228,L0011,T03,228,NEGATIVE,EXPOSED,50.0,73.958489,94.818576,0.037361,128.835602,,108.925469,53.823215,2.380496,-0.168659,-0.158941,52.724046,3.074765,2.082364,0.167899,0.042952,0.079904,PASS
S00320,L0016,T02,320,NEGATIVE,EXPOSED,50.0,65.996765,84.611238,0.071349,125.392846,101.242461,101.677408,67.459241,2.42281,0.397529,-0.242981,44.547288,3.435997,2.585825,0.477264,0.284454,0.403784,FAIL
S00539,L0026,T01,539,POSITIVE,UNEXPOSED,50.0,101.624076,101.624076,-0.061516,109.669763,97.856808,107.00729,44.764242,2.399661,0.870134,-0.524806,52.387435,3.337135,1.547378,0.190425,0.012424,0.07391,FAIL
S00141,L0007,T02,141,NEGATIVE,EXPOSED,50.0,83.595223,107.173363,-0.126685,122.658476,98.892709,106.117152,52.938991,2.3647,0.133077,-0.054074,52.966402,4.009178,1.565797,0.009654,0.058321,0.08801,FAIL
S00110,L0005,T01,110,NEGATIVE,EXPOSED,50.0,79.138758,101.459946,0.090881,125.895103,95.162305,100.564783,52.72393,2.376286,-0.858092,0.363648,48.243283,4.321453,2.100446,0.086937,0.053389,0.171558,FAIL
S00628,L0031,T02,628,POSITIVE,UNEXPOSED,50.0,92.581675,92.581675,0.013546,113.451312,95.233127,106.718125,55.305068,2.437736,-0.871512,-0.903047,53.138913,3.213434,1.783532,0.272684,0.070468,0.106409,FAIL
S00798,L0039,T03,798,NEGATIVE,,50.0,75.954136,97.377097,-0.056199,132.608159,97.216955,106.905993,48.176291,2.385065,0.84041,0.384473,55.511118,3.43773,1.477979,0.138099,0.039829,0.071838,FAIL
S00622,L0031,T01,622,NEGATIVE,EXPOSED,50.0,72.871803,93.425388,0.043613,102.756906,101.725287,104.050188,34.845606,2.455342,-0.360006,-0.374497,48.958926,2.180623,1.215729,0.20763,0.010795,0.025346,PASS
S00276,L0013,T02,276,POSITIVE,UNEXPOSED,50.0,88.416821,88.416821,0.124496,99.634959,102.49647,111.547456,46.600554,2.428126,0.177909,-0.482598,52.886434,3.842696,1.651555,0.660545,0.010453,0.325262,FAIL
S00351,L0017,T01,351,NEGATIVE,EXPOSED,50.0,67.046672,85.957272,0.007694,113.29084,97.148134,112.066328,60.475767,2.341457,-0.04082,-0.305953,47.666949,1.850171,4.184383,0.339243,0.081437,0.147736,FAIL
S00604,L0030,T01,604,POSITIVE,UNEXPOSED,50.0,98.765579,98.765579,-0.017525,105.475296,104.188352,107.725134,45.642472,2.413458,-0.131024,-0.940523,52.488158,2.04155,1.352047,0.275358,0.024338,0.030201,FAIL
S00346,L0017,T03,346,POSITIVE,UNEXPOSED,50.0,89.701883,89.701883,0.066473,122.494272,98.900932,106.449649,50.888469,2.365802,-0.008169,0.543209,51.119743,3.237484,1.75107,0.638113,0.043454,0.23691,FAIL
S00776,L0038,T01,776,NEGATIVE,EXPOSED,50.0,80.458847,103.152368,-0.093709,107.53264,94.899169,103.672351,47.414886,2.34074,-0.513387,-0.061074,49.582866,3.647422,1.836923,0.065614,0.0,0.076869,FAIL
S00601,L0030,T02,601,NEGATIVE,EXPOSED,50.0,82.317702,105.535515,0.083854,116.013592,99.252605,104.14804,51.519787,2.364446,0.469788,0.827998,53.608883,3.678806,1.464241,0.027672,0.026852,0.062792,FAIL
S00796,L0039,T03,796,NEGATIVE,EXPOSED,50.0,68.508265,87.83111,0.046345,126.266341,93.943635,106.131567,46.669502,2.421297,-0.903136,0.161393,50.156627,3.531158,1.740487,0.433087,0.036232,0.179752,FAIL
S00165,L0008,T02,165,POSITIVE,UNEXPOSED,50.0,95.711875,95.711875,0.047664,105.040162,100.106633,114.304207,62.964062,2.346784,-0.527078,0.795124,51.387998,2.490872,2.34788,0.039736,0.075663,0.044319,PASS
S00373,L0018,T03,373,POSITIVE,UNEXPOSED,50.0,87.9422,87.9422,-0.125476,121.074148,97.758709,110.03853,57.692845,2.346109,,-0.059503,53.883329,4.435241,1.57981,0.449259,0.093547,0.343134,FAIL
S00602,L0030,T03,602,NEGATIVE,EXPOSED,50.0,76.460405,98.02616,0.009615,100.432489,99.621917,107.295246,59.047259,2.365449,-0.198236,0.346665,49.295681,2.220619,1.392012,0.078181,0.039549,0.021688,PASS
S00393,L0019,T01,393,NEGATIVE,EXPOSED,50.0,79.949467,102.499317,-0.105034,103.398279,,108.470533,52.829915,2.442324,0.544014,-0.44665,49.732673,3.657187,1.820392,0.030203,0.045344,0.077827,FAIL
S00438,L0021,T03,438,NEGATIVE,EXPOSED,50.0,75.681197,97.027175,0.033256,114.511144,96.540666,104.65904,58.593437,2.429384,0.258153,-0.13641,49.412512,1.887418,1.373771,0.159115,0.069322,0.021854,PASS
S00037,L0001,T03,37,POSITIVE,UNEXPOSED,50.0,105.016041,105.016041,0.013001,99.337993,98.255896,107.140555,53.292282,2.411994,0.367061,-0.407738,49.642053,1.614013,1.711188,0.045346,0.031254,0.0139,PASS
S00298,L0014,T02,298,NEGATIVE,EXPOSED,50.0,83.238368,106.715856,-0.207266,106.46306,95.450196,105.792757,46.610639,2.371972,-0.009022,-0.562822,53.085143,5.318815,1.693141,0.007187,0.000611,0.213135,FAIL
S00345,L0017,T03,345,POSITIVE,UNEXPOSED,50.0,83.671047,83.671047,-0.109059,95.246498,100.602391,110.243133,40.378896,2.326143,-0.098152,0.042679,56.928514,3.528461,1.902809,0.921875,0.01489,0.471085,FAIL
S00791,L0039,T01,791,POSITIVE,UNEXPOSED,50.0,106.092804,106.092804,-0.078798,111.696132,99.654087,106.526342,52.370803,2.420301,0.837836,0.127919,49.213135,3.40538,1.890146,0.055074,0.042067,0.070014,FAIL
S00011,L0000,T02,11,NEGATIVE,EXPOSED,50.0,78.102385,100.131262,-0.127127,129.812213,99.509534,109.265672,51.15019,2.382754,0.743219,0.714537,56.792113,4.809637,2.153328,0.075989,0.041324,0.233008,FAIL
S00474,L0023,T01,474,NEGATIVE,EXPOSED,50.0,81.754886,104.813957,-0.029203,115.196691,103.292506,106.934849,56.72909,2.372209,-0.176001,0.421047,51.164551,2.647097,1.655468,0.001278,0.029813,0.028158,PASS
S00368,L0018,T02,368,NEGATIVE,EXPOSED,50.0,77.777241,99.714412,0.022517,105.029209,101.314178,105.544975,57.674001,2.344712,-0.444366,-0.795272,51.476861,2.201187,1.27653,0.074656,0.050523,0.020401,PASS
S00306,L0015,T01,306,NEGATIVE,EXPOSED,50.0,73.996737,94.867611,0.073403,109.109707,99.757067,105.731456,46.679469,2.314171,-0.140597,-0.072699,48.799096,3.016641,1.201164,0.16942,0.013115,0.045302,PASS
S00397,L0019,T02,397,NEGATIVE,EXPOSED,50.0,80.932172,103.759194,-0.130611,109.492134,102.695908,105.944904,49.538843,2.365551,0.805856,,53.515835,4.810083,1.116977,0.033037,0.017086,0.125442,FAIL
S00592,L0029,T01,592,NEGATIVE,EXPOSED,50.0,77.964319,99.954256,-0.129961,116.154483,97.876448,104.74128,52.931418,2.33043,0.493221,-0.767392,51.160821,4.638024,1.264515,0.08197,0.034956,0.1388,FAIL
S00273,L0013,T01,273,NEGATIVE,EXPOSED,50.0,73.960121,94.820668,0.119081,115.446312,96.017729,104.07627,62.301338,2.247057,0.43791,-0.583498,48.264105,3.990657,1.209492,0.185636,0.090615,0.121703,FAIL
S00727,L0036,T03,727,POSITIVE,UNEXPOSED,50.0,112.28838,112.28838,0.031295,121.806094,97.440906,107.763508,,2.336466,0.087846,-0.808043,48.3432,2.362986,1.927944,0.042963,0.071712,0.031937,PASS
S00442,L0022,T01,442,NEGATIVE,EXPOSED,50.0,77.076479,98.815999,0.061003,116.375215,101.307671,102.557466,43.868894,2.329577,0.202599,0.818107,50.064851,3.091031,1.846799,0.104936,0.021334,0.057882,PASS
S00649,L0032,T02,649,POSITIVE,UNEXPOSED,50.0,100.451368,100.451368,0.012745,124.332469,97.41171,108.097475,52.351493,2.437719,-0.405915,-0.802179,49.933048,2.951821,1.419708,0.155113,0.079257,0.054287,PASS
