sample_id,lot_id,tool_id,sequence,field_x,field_y,reticle_id,align_quality,ambient_temp_c,overlay_x_nm,overlay_y_nm,residual_nm,spec_pass
S00324,L0016,T03,324,0.573899,-0.554709,3.0,0.748526,22.874365,1.953505,-6.033188,6.341573,PASS
S00738,L0036,T02,738,0.413622,0.283111,4.0,0.881052,22.657113,5.998162,-3.036376,6.72291,PASS
S00212,L0010,T04,212,0.286226,0.920022,2.0,0.93471,21.792183,10.547043,-3.165777,11.011915,FAIL
S00151,L0007,T02,151,-0.148647,0.213197,4.0,1.0,21.149005,2.807367,-0.829776,2.927428,PASS
S00096,L0004,T01,96,-0.254871,0.367359,3.0,0.788873,22.772908,4.668088,0.173027,4.671294,PASS
S00311,L0015,T02,311,-0.659886,-0.430766,1.0,0.986957,22.062716,0.313494,1.531025,1.562791,PASS
S00368,L0018,T03,368,0.156742,-0.938519,2.0,0.955472,22.165434,-2.590589,-6.00114,6.536423,PASS
S00467,L0023,T04,467,0.317489,-0.107648,2.0,3.62009,23.453182,4.986325,-2.860437,5.748525,PASS
S00357,L0017,T02,357,-0.095413,0.797457,3.0,1.0,22.131703,8.754541,-0.254532,8.75824,FAIL
S00143,L0007,T02,143,-0.612805,0.617424,4.0,0.985217,21.489989,4.352727,3.300899,5.462798,PASS
S00432,L0021,T02,432,-0.511067,-0.734958,4.0,0.861695,21.653012,0.381504,-1.56953,1.615231,PASS
S00252,L0012,T01,252,-0.051102,0.935534,3.0,0.963059,21.965595,7.606095,-1.046899,7.677804,PASS
S00746,L0037,T01,746,-0.550975,-0.519527,4.0,0.933123,21.397216,0.126562,-1.733771,1.738385,PASS
S00199,L0009,T01,199,-0.71755,0.374152,1.0,0.743845,21.936888,2.25099,1.249869,2.57471,PASS
S00088,L0004,T02,88,-0.734806,0.266392,2.0,0.729709,21.143864,5.111184,0.13485,5.112962,PASS
S00174,L0008,T01,174,0.36885,-0.968653,3.0,0.896055,22.299426,-0.375766,-2.381104,2.410572,PASS
S00288,L0014,T01,288,-0.95814,0.688053,3.0,0.67257,23.684634,3.531116,2.62062,4.397321,PASS
S00645,L0032,T03,645,0.630136,0.428555,2.0,1.0,24.613502,6.274324,-2.877612,6.902738,PASS
S00147,L0007,T03,147,0.775962,0.724292,2.0,0.796928,22.000008,6.402684,-3.385076,7.242452,PASS
S00649,L0032,T01,649,-0.298068,-0.320483,4.0,4.854685,21.754709,2.746139,0.459911,2.784385,PASS
S00272,L0013,T01,272,-0.500808,-0.684916,4.0,0.835115,22.105087,-1.159595,-2.416235,2.680084,PASS
S00441,L0022,T01,441,0.449521,0.577807,2.0,1.0,22.601293,6.379176,-5.553099,8.457588,FAIL
S00688,L0034,T02,688,-0.247021,-0.791835,2.0,0.937554,22.564001,0.645103,-2.742513,2.817363,PASS
S00452,L0022,T01,452,-0.101356,0.367757,4.0,0.698521,20.719718,4.126585,-0.807045,4.204762,PASS
S00405,L0020,T01,405,-0.131331,0.077577,1.0,1.0,22.006278,4.183508,-1.487137,4.439968,PASS
S00215,L0010,T01,215,-0.426377,-0.276827,4.0,0.797255,21.907702,-1.465952,-0.254685,1.487911,PASS
S00359,L0017,T01,359,0.363758,0.889729,2.0,0.852497,21.807882,8.855358,-4.099268,9.758143,FAIL
S00727,L0036,T03,727,-0.615724,-0.721347,4.0,0.81881,21.888898,0.626939,-0.666848,0.915281,PASS
S00335,L0016,T02,335,-0.792865,0.199984,2.0,0.737435,22.863082,3.141483,-0.251846,3.151562,PASS
S00408,L0020,T01,408,-0.014573,-0.935978,2.0,0.810638,23.801011,-0.951017,-3.267854,3.403425,PASS
S00178,L0008,T01,178,0.502465,-0.834229,2.0,0.726836,23.035976,-2.165057,-7.610436,7.912409,PASS
S00446,L0022,T01,446,-0.171868,0.608025,3.0,0.842241,22.921646,6.460888,-0.919219,6.525951,PASS
S00338,L0016,T02,338,0.142894,-0.750393,4.0,0.891897,22.504713,-1.44773,-2.32971,2.742895,PASS
S00067,L0003,T01,67,0.40574,-0.261315,2.0,1.0,23.556785,0.633682,-2.978306,3.044973,PASS
S00464,L0023,T04,464,0.931315,-0.870091,4.0,0.843025,21.331596,2.707136,-7.672613,8.136189,FAIL
