sample_id,lot_id,tool_id,sequence,field_x,field_y,reticle_id,align_quality,ambient_temp_c,overlay_x_nm,overlay_y_nm,residual_nm,spec_pass,pred_x,pred_y,calc_residual_x,calc_residual_y,calc_residual_nm
S00324,L0016,T03,324,0.573899,-0.554709,3.0,0.748526,22.874365,1.953505,-6.033188,6.341573,PASS,0.7271249821439061,-5.598869528641148,1.226380017856094,-0.4343184713588517,1.301015173916201
S00738,L0036,T02,738,0.413622,0.283111,4.0,0.881052,22.657113,5.998162,-3.036376,6.72291,PASS,6.669996636159098,-3.7060380333734693,-0.6718346361590983,0.6696620333734691,0.9485826359811343
S00212,L0010,T04,212,0.286226,0.920022,2.0,0.93471,21.792183,10.547043,-3.165777,11.011915,FAIL,10.111462281865844,-2.1040913127833463,0.43558071813415644,-1.0616856872166536,1.1475657107333617
S00151,L0007,T02,151,-0.148647,0.213197,4.0,1.0,21.149005,2.807367,-0.829776,2.927428,PASS,5.090608840435918,-0.9633704698858059,-2.2832418404359176,0.13359446988580592,2.2871468654857443
S00096,L0004,T01,96,-0.254871,0.367359,3.0,0.788873,22.772908,4.668088,0.173027,4.671294,PASS,4.352799427265651,-0.3708194555186022,0.3152885727343486,0.5438464555186022,0.6286301386960457
S00311,L0015,T02,311,-0.659886,-0.430766,1.0,0.986957,22.062716,0.313494,1.531025,1.562791,PASS,0.42691003861857757,0.8798782189907213,-0.11341603861857757,0.6511467810092788,0.6609503220626164
S00368,L0018,T03,368,0.156742,-0.938519,2.0,0.955472,22.165434,-2.590589,-6.00114,6.536423,PASS,-2.76502835075382,-5.21877363766663,0.17443935075381978,-0.7823663623333701,0.801577327525027
S00467,L0023,T04,467,0.317489,-0.107648,2.0,3.62009,23.453182,4.986325,-2.860437,5.748525,PASS,4.713377095324005,-3.3063711257465425,0.27294790467599483,0.44593412574654234,0.5228363062874929
S00357,L0017,T02,357,-0.095413,0.797457,3.0,1.0,22.131703,8.754541,-0.254532,8.75824,FAIL,7.977090256197129,-0.3149090783615356,0.7774507438028708,0.06037707836153561,0.7797916713014522
S00143,L0007,T02,143,-0.612805,0.617424,4.0,0.985217,21.489989,4.352727,3.300899,5.462798,PASS,6.003942326775757,1.7703115128973355,-1.6512153267757572,1.5305874871026643,2.2514906420090712
