sample_id,lot_id,tool_id,sequence,photo_cd_nm,overlay_nm,etch_bias_nm,etch_depth_nm,cmp_dishing_nm,film_thickness_nm,final_cd_nm,resistance_proxy,defect_risk,electrical_result,yield_proxy
S00011,L0000,T02,11,49.814054,4.747045,0.478155,1026.202762,31.770396,74.68279,50.576261,104.908698,0.63287,PASS,81.248332
S00365,L0018,T01,365,50.941863,4.487677,-2.73661,1040.896859,,57.954132,48.768655,103.264703,0.275751,PASS,92.363525
S00535,L0026,T02,535,50.746806,5.944226,-1.911547,994.128072,36.10186,74.926409,49.160958,102.666338,0.547177,FAIL,83.33362
S00106,L0005,T02,106,51.587945,5.213582,-0.938388,992.363284,41.676852,65.114344,51.950612,99.690786,0.916738,FAIL,68.21835
S00550,L0027,T01,550,48.859622,3.97696,-0.834954,950.067963,37.842537,62.634955,47.323589,108.653322,0.453163,PASS,87.371981
S00337,L0016,T03,337,52.528873,3.022665,-1.407615,970.575085,28.292507,64.672116,51.840311,100.893718,0.643029,FAIL,77.567928
S00041,L0002,T01,41,47.299578,4.180275,-2.476127,947.749208,33.615234,65.940314,45.265591,110.965576,0.788764,FAIL,74.114675
S00461,L0023,T01,461,50.204365,2.109537,0.154365,972.496498,35.862909,64.190179,50.160387,102.672916,0.320835,PASS,86.589879
S00739,L0036,T02,739,51.016319,10.241221,-1.941594,1011.856787,45.06655,68.918518,48.135058,106.963618,0.915225,FAIL,70.029818
S00037,L0001,T01,37,48.695002,3.424668,0.037642,920.070408,39.723967,71.23234,47.318149,107.205243,0.418581,PASS,85.435286
S00710,L0035,T01,710,51.904113,4.560471,-0.985322,1033.09036,34.483672,61.549334,50.968834,98.866956,0.715832,FAIL,74.659249
S00203,L0010,T04,203,48.764691,3.354794,-2.234013,1063.603655,36.536425,68.554248,47.624517,106.648135,0.314222,FAIL,87.492741
S00030,L0001,T03,30,43.114277,5.029674,-0.218449,1048.001802,51.697017,72.233118,42.018225,117.79708,0.994994,FAIL,65.132557
S00139,L0006,T01,139,48.990788,3.998246,-3.655432,1004.992026,44.9819,71.756137,45.430212,111.281196,0.84929,PASS,70.198572
S00181,L0009,T03,181,50.266248,4.881772,-2.198663,1016.924706,13.993376,63.276241,48.572172,102.694701,0.121764,PASS,94.555056
S00606,L0030,T05,606,56.638599,6.993494,-2.199748,989.136518,34.562164,64.886035,53.14039,94.565804,0.977253,PASS,67.635637
S00505,L0025,T01,505,51.197109,6.873444,0.21236,1016.087646,34.420845,60.607203,50.663063,99.111416,0.847696,PASS,74.037468
S00239,L0011,T05,239,47.446564,4.762436,-0.585147,958.416716,50.089263,68.567767,47.015192,107.320939,0.7476,FAIL,73.999703
S00545,L0027,T01,545,53.051485,5.382113,0.753804,971.927714,11.499552,70.293296,55.358043,87.168361,0.971828,FAIL,67.611794
S00404,L0020,T03,404,48.483551,2.929875,-1.709645,983.199105,26.4425,74.542669,47.370754,103.568297,0.210183,PASS,92.844376
S00128,L0006,T03,128,50.84402,4.762808,-0.091233,977.458628,78.202534,73.448,50.60389,100.204567,0.958014,FAIL,70.567042
S00312,L0015,T01,312,55.831281,2.20398,0.512894,924.845549,40.926611,63.729906,57.539873,86.455258,0.995826,FAIL,64.954953
S00074,L0003,T01,74,48.967966,3.938144,-0.981689,997.186097,59.02575,67.894919,48.152556,106.87612,0.573595,FAIL,80.768306
S00374,L0018,T01,374,51.050474,4.461152,-3.406399,921.751398,29.580145,,48.149794,104.140595,0.252484,PASS,86.768636
S00040,L0002,T04,40,49.787043,3.933489,,931.971938,29.437209,65.201712,48.240839,106.938986,0.197253,PASS,91.943277
S00157,L0007,T02,157,51.794954,6.335207,-2.934141,917.497155,28.669652,67.504829,47.477784,105.750559,0.561055,FAIL,81.526673
S00635,L0031,T01,635,53.748054,1.561071,-1.236231,981.10579,43.827398,65.202928,52.959992,99.137015,0.843035,FAIL,70.129339
S00016,L0000,T02,16,49.335293,4.260916,-1.178642,1002.005945,20.677828,67.791371,48.166588,105.631363,0.157284,PASS,94.387114
S00630,L0031,T04,630,46.972848,4.378411,-0.57132,963.924591,43.396282,59.858626,46.291059,113.851521,0.754773,FAIL,74.687891
S00491,L0024,T02,491,50.974948,4.339632,-1.197862,986.944446,40.818618,68.724065,50.132888,102.468183,0.623438,FAIL,78.830873
S00259,L0012,T01,259,53.291958,4.564314,-1.638746,1004.004969,65.178822,68.337155,51.839943,97.293729,0.964795,FAIL,68.234828
S00746,L0037,T01,746,45.460493,3.600752,-0.336948,992.387633,39.430444,73.272946,45.582387,110.633639,0.754564,FAIL,76.617253
S00082,L0004,T04,82,49.578415,2.187992,-0.669181,970.153012,43.932317,66.337985,48.221701,104.517194,0.201574,PASS,92.269595
