sample_id,lot_id,tool_id,sequence,photo_cd_nm,overlay_nm,etch_bias_nm,etch_depth_nm,cmp_dishing_nm,film_thickness_nm,final_cd_nm,resistance_proxy,defect_risk,electrical_result,yield_proxy
S00556,L0027,T01,556,53.655001,4.041495,-0.673987,1003.810815,26.779837,68.123424,59.137809,84.539266,0.998889,FAIL,65.357485
S00338,L0016,T01,338,49.808345,3.303816,-1.769785,976.70317,41.745377,73.559472,54.990452,88.983911,0.981568,FAIL,66.024861
S00291,L0014,T01,291,49.864803,5.325231,1.667598,967.220931,38.448915,63.432802,59.68159,80.494439,0.999787,FAIL,64.148708
S00223,L0011,T01,223,50.213724,5.617439,-0.161779,1001.694625,40.497162,65.329275,59.209554,81.863119,0.999757,FAIL,67.721384
S00270,L0013,T04,270,50.014927,5.686188,-2.458246,973.577189,17.448076,69.136755,53.211028,93.756381,0.907816,FAIL,72.456571
S00558,L0027,T03,558,49.13741,4.778783,,969.388857,28.92444,65.762716,52.85361,97.430566,0.9024,PASS,70.210426
S00171,L0008,T01,171,51.874671,3.837116,-3.246371,1019.592428,30.047074,66.204435,53.408764,97.330755,0.909398,FAIL,69.601418
S00601,L0030,T03,601,50.321501,,-0.152858,922.399831,58.457714,71.566752,59.34679,81.885999,0.999795,FAIL,67.96609
S00325,L0016,T02,325,52.502129,5.116016,-1.268094,996.23667,17.249522,67.086709,56.364097,89.243092,0.989462,FAIL,51.816895
S00573,L0028,T01,573,49.375028,5.052916,-1.331896,962.118476,56.468387,66.038626,61.067058,81.314129,0.999971,FAIL,71.470372
S00134,L0006,T02,134,50.11858,4.032737,-0.847571,1031.246077,32.202639,69.518092,56.348989,87.354204,0.992348,FAIL,66.291231
S00725,L0036,T01,725,48.150418,1.212717,-0.868435,980.756101,33.624575,64.976411,49.931227,99.573282,0.188476,PASS,91.633541
S00442,L0022,T01,442,52.815373,3.014387,-1.883464,918.741454,42.014535,64.571826,57.071482,85.275871,0.996028,FAIL,67.648699
S00346,L0017,T05,346,52.795593,3.527863,-1.305175,1013.257686,23.901657,66.717486,54.422617,88.885056,0.933406,FAIL,67.657826
S00506,L0025,T01,506,50.64624,4.160298,-0.440049,990.020378,45.924576,68.623742,58.613789,86.837609,0.999441,FAIL,66.875645
S00493,L0024,T01,493,48.758686,6.21765,-1.737411,1008.231441,59.745101,67.960244,63.84445,68.779426,0.999998,FAIL,61.778129
S00012,L0000,T03,12,48.035074,6.252824,-1.352006,900.77264,34.460175,64.312058,57.220577,87.28262,0.998753,FAIL,64.576002
S00033,L0001,T04,33,47.470657,4.718155,0.251027,943.484922,49.438278,68.775648,58.968354,83.920734,0.99973,FAIL,67.462185
S00640,L0032,T04,640,48.683956,3.061448,2.090815,961.95236,40.126352,68.221898,58.488433,80.027571,0.998608,FAIL,67.920076
S00496,L0024,T01,496,48.392766,4.647487,-0.517441,1030.352922,34.125981,68.243766,55.454038,91.0464,0.98935,FAIL,67.234275
S00434,L0021,T02,434,50.957516,5.577399,-3.172051,987.250177,19.625442,64.7928,53.84292,90.917418,0.946016,FAIL,66.687961
S00677,L0033,T04,677,55.241842,6.089053,-1.060551,983.278837,43.948009,63.893416,67.030334,67.755474,1.0,FAIL,67.746803
S00006,L0000,T01,6,51.095673,6.895653,-0.880187,982.917023,39.777005,69.219186,61.858762,76.177636,0.999983,FAIL,66.793191
S00685,L0034,T01,685,51.469775,2.977833,-3.188833,952.490705,40.178358,69.102557,54.528437,92.072869,0.966837,FAIL,67.927303
S00779,L0038,T01,779,50.238764,1.361636,-3.244052,982.839752,34.232901,69.663477,48.52563,103.064989,0.076991,PASS,96.641818
S00197,L0009,T01,197,48.390059,3.514944,-1.433197,1018.802166,22.272424,67.605695,51.156017,98.100396,0.482887,FAIL,82.654064
S00438,L0021,T03,438,49.651996,4.030916,-2.361202,987.212268,47.840891,65.104029,55.089868,89.063804,0.991138,FAIL,69.615521
S00423,L0021,T02,423,53.306073,5.300773,0.159977,997.133985,37.26842,69.346601,62.560587,74.175295,0.999977,FAIL,67.16684
S00459,L0022,T01,459,50.075229,1.906856,-3.687746,995.712637,39.789664,70.216843,49.089824,105.957974,0.185182,PASS,92.377366
S00035,L0001,T01,35,51.519452,2.908867,-1.960186,977.933723,19.040515,,52.182737,94.544914,0.575031,FAIL,82.184628
S00061,L0003,T01,61,52.797744,2.584738,0.255447,930.079209,40.338178,62.979821,58.283854,82.618278,0.997992,FAIL,66.923347
S00258,L0012,T01,258,46.371813,5.27805,-0.517004,988.729485,,71.063442,53.070064,93.725354,0.925889,FAIL,68.746022
S00592,L0029,T01,592,51.242569,3.010183,-3.912277,919.323599,31.345618,68.688736,51.873385,97.899159,0.685098,FAIL,76.058726
S00645,L0032,T01,645,48.559083,6.819009,-0.796361,977.966619,42.278782,66.949085,61.058651,81.647211,0.999971,FAIL,68.033787
S00286,L0014,T01,286,49.657195,4.463035,-3.301649,926.405298,32.357427,63.932413,53.354098,93.041031,0.935312,FAIL,69.328516
S00225,L0011,T02,225,51.21037,4.752068,-2.698633,1018.814585,50.669614,64.251516,60.73995,79.297048,0.99994,FAIL,66.541887
S00551,L0027,T01,551,49.197611,5.65645,-0.765498,963.68225,53.748827,66.775831,62.257318,79.642756,0.99999,FAIL,67.746247
S00414,L0020,T03,414,50.792025,5.850912,-1.364008,932.736639,22.266983,67.963377,54.769879,89.688597,0.979638,FAIL,67.901619
S00039,L0001,T01,39,50.254767,5.310732,-0.900283,990.206998,40.73073,68.812838,58.290197,84.764766,0.999426,FAIL,66.785953
S00079,L0003,T02,79,53.348447,6.250762,-1.230216,980.243771,42.113075,65.262398,64.698126,70.220016,0.999998,FAIL,65.923513
S00621,L0031,T04,621,48.528183,3.924242,-2.668432,1062.450373,34.737518,64.294159,53.713074,94.300957,0.94516,FAIL,67.054409
S00155,L0007,T01,155,51.328625,4.656422,-1.429164,973.610842,27.113692,64.858383,55.183361,90.659709,0.980798,PASS,66.884772
S00792,L0039,T04,792,47.225924,5.840441,-1.713294,1006.983102,38.285016,69.258584,56.612388,87.019534,0.998022,FAIL,64.906466
S00238,L0011,T01,238,52.547365,7.098413,-1.682654,990.090244,41.907329,,64.381125,71.750779,0.999998,FAIL,64.047614
S00630,L0031,T01,630,48.42677,5.282866,-0.261335,984.603159,36.294842,68.983621,57.108628,86.853632,0.998093,FAIL,67.213192
S00365,L0018,T01,365,50.14114,3.113858,-1.815397,912.476418,34.954109,69.078355,53.706273,91.766098,0.923348,FAIL,69.286093
S00310,L0015,T01,310,51.195453,3.973406,-2.103169,992.019542,27.926511,67.725469,54.219397,133.060252,0.947822,FAIL,68.098005
S00226,L0011,T01,226,48.929518,5.055662,-4.32578,917.202508,17.375108,71.764669,48.934092,103.00946,0.194341,PASS,91.646747
S00201,L0010,T02,201,52.183011,4.863427,-1.096423,1052.830527,35.3952,69.768825,59.097882,79.699123,0.999507,FAIL,65.66836
S00290,L0014,T01,290,45.82505,5.358588,-1.791267,1018.311426,47.237495,70.59442,54.629384,89.63509,0.992703,FAIL,66.266933
S00021,L0001,T04,21,49.834369,4.809373,-0.415448,,45.178617,71.694678,60.544161,78.74911,0.999907,FAIL,68.551272
S00227,L0011,T02,227,49.034806,5.627407,-2.12113,951.252076,31.790708,65.630992,55.955957,87.728645,0.994757,FAIL,63.704879
S00595,L0029,T05,595,48.124802,4.492693,-1.426162,1003.492251,38.495216,62.852896,53.676735,95.307935,0.963748,FAIL,69.568239
S00036,L0001,T04,36,49.166035,4.593619,-1.838031,1082.276625,47.456926,68.088161,58.671654,82.957533,0.999596,FAIL,68.616302
S00370,L0018,T01,370,50.569713,3.686089,-0.922724,980.805992,59.071528,69.314608,59.20637,82.136541,0.999791,FAIL,66.233734
S00751,L0037,T01,751,49.834586,5.97315,-0.633172,1007.807069,37.347942,66.260547,59.833145,81.336945,0.999851,FAIL,66.529461
S00676,L0033,T03,676,53.301811,4.815047,-2.54995,1023.235814,22.418099,68.388399,56.02924,88.695434,0.988146,FAIL,71.144656
S00453,L0022,T03,453,49.761256,4.048803,-1.78885,960.220418,37.644004,66.172196,53.815508,91.962805,0.958703,FAIL,68.056603
S00687,L0034,T01,687,49.604284,3.351886,-3.911091,1014.650409,37.441825,64.056656,49.575097,105.695735,0.360712,PASS,85.697477
S00742,L0037,T01,742,50.512021,3.242067,-2.862699,980.647323,44.245221,68.224599,53.240463,96.25621,0.936123,FAIL,70.485146
S00255,L0012,T02,255,53.126673,4.109478,-0.802899,899.409601,27.541176,69.261642,59.259621,79.648345,0.999063,FAIL,66.507743
S00461,L0023,T02,461,52.965803,1.715367,-1.772325,1006.477767,59.412347,70.557108,56.63247,89.7476,0.99611,FAIL,65.207427
S00553,L0027,T02,553,51.663765,4.126329,-2.393048,1016.069895,50.641417,73.00175,58.996565,82.384571,0.999678,FAIL,67.824595
S00492,L0024,T04,492,47.969087,3.263752,-1.355543,985.240734,35.760947,66.838394,52.022528,100.918001,0.777916,PASS,73.271425
S00063,L0003,T01,63,50.692305,3.313072,-1.896898,999.972117,18.282103,66.348809,52.119767,98.915778,0.596815,FAIL,79.094331
S00284,L0014,T03,284,48.58208,4.811942,-1.388628,1034.395373,296.36022,61.552401,54.045911,92.468692,0.962024,PASS,67.821339
S00112,L0005,T01,112,49.264518,0.153449,-2.685606,,58.105246,,48.049065,105.186174,0.201908,FAIL,92.04754
S00356,L0017,T01,356,50.736612,6.343779,-1.14895,923.959302,33.606253,63.995707,58.166102,84.939186,0.999411,FAIL,68.268543
S00502,L0025,T02,502,48.566524,4.447467,-0.06067,931.241719,26.716593,68.442333,55.725102,87.863722,0.985948,FAIL,68.681089
S00002,L0000,T03,2,51.218187,3.886835,-3.557953,1017.984148,57.275764,68.322205,56.942543,90.204606,0.998712,FAIL,66.361277
S00105,L0005,T02,105,48.680241,6.927749,-3.194546,987.700995,33.7419,64.597818,56.943376,88.875743,0.998804,FAIL,69.091308
S00717,L0035,T01,717,47.450475,4.224442,0.011669,946.823814,42.107562,65.995023,54.544133,95.093744,0.982913,FAIL,64.560751
S00037,L0001,T02,37,51.247503,5.341505,-2.224676,960.591342,68.039847,70.032826,65.904649,69.033783,1.0,FAIL,67.809215
S00117,L0005,T01,117,,1.641673,-0.30899,943.584394,25.358374,64.231246,51.16905,98.548836,0.32491,PASS,88.932725
S00466,L0023,T03,466,51.242787,6.021446,-2.440157,885.610766,24.663577,61.781926,53.517836,98.084718,0.956078,FAIL,66.664782
S00517,L0025,T01,517,47.808876,4.745325,-0.56479,891.130827,50.403634,74.119164,57.714892,83.373377,0.999311,FAIL,67.88245
S00126,L0006,T02,126,51.196704,4.323312,,909.738873,46.934401,64.404639,60.521661,79.437724,0.999893,FAIL,65.422549
S00207,L0010,T01,207,48.391423,5.43611,-2.499675,900.136165,34.331386,68.918684,53.517279,94.285104,0.966049,FAIL,66.233111
S00483,L0024,T02,483,48.098348,5.474517,-0.316432,893.49336,38.821243,66.548289,58.883768,82.302874,0.999632,FAIL,67.618695
S00355,L0017,T03,355,48.577334,4.241515,-1.13301,1001.746255,41.023307,65.044314,54.826196,90.84569,0.985599,FAIL,69.147938
S00120,L0006,T05,120,48.468977,0.154129,-1.619407,905.590368,26.870741,66.360095,46.75237,107.528902,0.113584,PASS,94.472064
S00770,L0038,T03,770,50.287208,6.783196,-2.126774,1029.645329,,66.024104,59.231603,83.931214,0.999813,FAIL,64.598824
S00323,L0016,T03,323,51.379266,4.48359,-0.018097,932.586887,54.471486,70.131055,61.652905,77.140126,0.999973,FAIL,65.905189
S00584,L0029,T01,584,51.751857,3.549951,-0.718296,940.924869,36.766135,69.141937,56.366682,87.883715,0.992703,FAIL,65.146032
S00608,L0030,T05,608,49.938224,4.912635,-1.886883,990.02087,31.02312,69.748139,53.315722,97.599771,0.941007,FAIL,69.153406
S00304,L0015,T01,304,48.018466,5.147685,-0.829537,1023.354928,35.642751,69.522543,54.607278,91.638253,0.984672,FAIL,68.369379
S00277,L0013,T01,277,45.566558,6.740498,0.266375,1002.642162,46.956805,66.521072,60.682441,80.643715,0.999968,FAIL,66.657757
S00664,L0033,T01,664,48.63606,4.561628,-1.164084,948.414131,45.519592,66.770795,57.32671,87.926458,0.998665,FAIL,68.665102
S00170,L0008,T02,170,51.163993,8.865041,0.909777,917.421848,19.472881,65.431302,61.200866,77.868868,0.999964,FAIL,67.100724
S00153,L0007,T04,153,48.648266,7.881836,-3.149312,1013.924715,18.811147,70.501888,54.26066,92.28165,0.985079,FAIL,68.621959
S00204,L0010,T01,204,51.37528,6.860219,-0.753888,933.042461,25.073668,67.926115,58.949984,81.79337,0.999601,FAIL,68.193799
S00507,L0025,T01,507,51.27358,5.164363,-0.372178,977.129122,26.865802,66.72384,57.449385,84.866685,0.99743,FAIL,69.555038
S00530,L0026,T01,530,49.044959,2.209402,0.427136,974.279084,35.846628,64.41183,52.829475,96.534165,0.806804,FAIL,73.401712
S00606,L0030,T01,606,49.053841,5.685839,-1.632658,912.743567,43.323394,68.907023,57.480953,87.107663,0.999197,FAIL,68.749041
S00065,L0003,T01,65,49.061047,4.859669,-1.423287,1016.026663,33.0327,67.448881,53.85639,95.453477,0.964041,FAIL,69.211805
S00110,L0005,T01,110,51.434177,4.503579,-0.627711,956.350814,43.619713,64.753617,59.771763,80.864342,0.999785,FAIL,65.884225
S00692,L0034,T03,692,52.586155,5.188381,-2.6834,984.670754,58.581286,72.73175,63.003548,75.852678,0.999995,FAIL,66.354435
S00528,L0026,T01,528,49.052234,4.422404,-1.792199,896.731867,58.197895,63.374148,60.091205,81.629687,0.999922,FAIL,66.810339
S00088,L0004,T01,88,49.38968,2.908558,-3.072676,959.314031,52.120217,73.001235,53.886123,89.915915,0.97024,FAIL,68.901475
